Name,Age,Season,Team,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,Name-additional
Tom Woodruff,20,2014,Virginia,11,8,7,4,3,1,0,0,1,1,0,1,0,0.429,0.5,0.571,1.071,4,,0,0,0,0,,player.fcgi?id=woodru002tho
Alec Bettinger,19,2015,Virginia,27,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,,player.fcgi?id=bettin000ale
Ernie Clement,19,2015,Virginia,62,260,229,25,56,6,3,1,22,3,8,9,12,0.245,0.303,0.31,0.613,71,,11,9,2,0,,player.fcgi?id=clemen000ern
Charlie Cody,19,2015,Virginia,23,62,55,9,16,2,0,1,6,0,1,2,12,0.291,0.35,0.382,0.732,21,,3,2,0,0,,player.fcgi?id=cody--000cha
Robbie Coman,21,2015,Virginia,58,235,201,15,58,6,0,1,22,2,5,21,21,0.289,0.36,0.333,0.693,67,,3,7,3,0,,player.fcgi?id=coman-000rob
Kevin Doherty,--,2015,Virginia,56,163,130,12,28,5,2,1,23,4,2,28,34,0.215,0.354,0.308,0.662,40,,1,2,2,0,,player.fcgi?id=dohert000kev
Jack Gerstenmaier,20,2015,Virginia,11,36,33,2,10,1,0,0,6,0,0,0,4,0.303,0.343,0.333,0.676,11,,2,1,0,0,,player.fcgi?id=gerste002jac
Adam Haseley*,19,2015,Virginia,68,329,276,56,69,11,3,1,19,5,1,39,53,0.25,0.355,0.322,0.677,89,,7,5,2,1,,player.fcgi?id=hasele000ada
John La Prise*,21,2015,Virginia,4,14,14,0,4,0,0,0,0,0,0,0,2,0.286,0.286,0.286,0.571,4,,0,0,0,0,,player.fcgi?id=lapris000joh
Christian Lowry,19,2015,Virginia,29,89,81,8,18,0,0,0,5,4,1,2,20,0.222,0.276,0.222,0.498,18,,4,2,0,0,,player.fcgi?id=lowry-000chr
Joe McCarthy*,21,2015,Virginia,33,140,112,19,22,3,0,2,11,3,0,24,20,0.196,0.343,0.277,0.62,31,,2,0,2,2,,player.fcgi?id=mccart002joe
Justin Novak,19,2015,Virginia,36,93,74,12,7,1,0,0,3,1,0,5,13,0.095,0.2,0.108,0.308,8,,5,8,1,0,,player.fcgi?id=novak-000jus
Daniel Pinero,21,2015,Virginia,67,312,253,60,78,8,1,6,29,9,2,39,37,0.308,0.409,0.419,0.828,106,,5,14,1,0,,player.fcgi?id=pinero000dan
Kevin Radford?,--,2015,Virginia,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,,player.fcgi?id=radfor000kev
David Rosenberger*,21,2015,Virginia,19,4,4,0,1,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,1,,0,0,0,0,,player.fcgi?id=rosenb000dav
Pavin Smith*,19,2015,Virginia,68,307,270,38,83,14,4,7,44,2,6,26,40,0.307,0.373,0.467,0.839,126,,5,1,5,1,,player.fcgi?id=smith-000pav
Matt Thaiss*,20,2015,Virginia,67,301,254,49,82,18,0,10,64,4,0,33,26,0.323,0.413,0.512,0.925,130,,9,1,4,2,,player.fcgi?id=thaiss000mat
Kenny Towns,22,2015,Virginia,68,308,267,41,79,21,2,5,67,2,3,27,35,0.296,0.365,0.446,0.811,119,,6,1,7,2,,player.fcgi?id=towns-000ken
Tom Woodruff,21,2015,Virginia,39,65,55,11,15,1,0,0,7,5,1,4,12,0.273,0.375,0.291,0.666,16,,5,1,0,0,,player.fcgi?id=woodru002tho
Ernie Clement,20,2016,Virginia,59,291,258,62,91,13,4,1,30,6,4,12,12,0.353,0.383,0.446,0.828,115,,3,14,4,0,,player.fcgi?id=clemen000ern
Charlie Cody,20,2016,Virginia,25,94,77,12,18,6,0,3,18,0,0,9,15,0.234,0.33,0.429,0.758,33,,3,3,2,0,,player.fcgi?id=cody--000cha
Robbie Coman,22,2016,Virginia,6,18,15,1,3,0,0,0,1,0,0,2,4,0.2,0.333,0.2,0.533,3,,1,0,0,0,,player.fcgi?id=coman-000rob
Cam Comer*,19,2016,Virginia,8,8,6,3,3,3,0,0,4,0,0,2,1,0.5,0.625,1,1.625,6,,0,0,0,0,,player.fcgi?id=comer-000cam
Kevin Doherty,--,2016,Virginia,32,25,23,2,6,0,0,0,6,0,0,1,5,0.261,0.28,0.261,0.541,6,,0,0,1,0,,player.fcgi?id=dohert000kev
Doak Dozier*,--,2016,Virginia,25,80,69,9,15,2,0,2,6,1,1,4,20,0.217,0.267,0.333,0.6,23,,1,5,1,0,,player.fcgi?id=dozier000doa
Nate Eikhoff*,19,2016,Virginia,40,113,102,10,29,7,3,1,17,2,3,5,15,0.284,0.321,0.441,0.762,45,,1,4,1,0,,player.fcgi?id=eikhof000nat
Jack Gerstenmaier,21,2016,Virginia,34,85,70,13,18,2,0,1,11,2,0,11,15,0.257,0.381,0.329,0.71,23,,3,1,0,0,,player.fcgi?id=gerste002jac
Adam Haseley*,20,2016,Virginia,59,280,242,60,73,19,6,6,36,3,1,28,28,0.302,0.377,0.504,0.881,122,,3,4,3,0,,player.fcgi?id=hasele000ada
Ryan Karstetter,19,2016,Virginia,51,130,120,15,27,4,1,0,17,2,1,2,26,0.225,0.254,0.275,0.529,33,,3,4,1,0,,player.fcgi?id=karste000rya
Jake McCarthy*,18,2016,Virginia,6,21,19,3,7,0,0,0,2,0,0,1,5,0.368,0.429,0.368,0.797,7,,1,0,0,0,,player.fcgi?id=mccart005jac
Jon Meola,19,2016,Virginia,5,7,7,0,2,0,0,0,0,0,0,0,2,0.286,0.286,0.286,0.571,2,,0,0,0,0,,player.fcgi?id=meola-000jon
Justin Novak,20,2016,Virginia,48,190,161,26,44,4,0,2,29,1,0,11,15,0.273,0.346,0.335,0.682,54,,7,11,0,0,,player.fcgi?id=novak-000jus
Daniel Pinero,22,2016,Virginia,58,254,208,48,69,19,1,3,37,5,6,38,30,0.332,0.434,0.476,0.91,99,,2,3,3,1,,player.fcgi?id=pinero000dan
Cameron Simmons,19,2016,Virginia,49,178,161,29,42,13,0,4,21,3,2,8,47,0.261,0.314,0.416,0.73,67,,5,3,1,0,,player.fcgi?id=simmon000cam
Pavin Smith*,20,2016,Virginia,59,269,223,42,74,15,1,8,57,2,1,36,23,0.332,0.414,0.516,0.93,115,,1,1,8,1,,player.fcgi?id=smith-000pav
Matt Thaiss*,21,2016,Virginia,59,274,229,55,87,13,2,10,59,0,1,37,16,0.38,0.474,0.585,1.06,134,,6,0,2,5,,player.fcgi?id=thaiss000mat
Andy Weber*,18,2016,Virginia,33,106,93,16,25,3,1,0,11,0,0,6,10,0.269,0.314,0.323,0.636,30,,1,4,2,0,,player.fcgi?id=weber-000and
Jack Weiller*,18,2016,Virginia,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,player.fcgi?id=weille000jac
Drew Blakely,19,2017,Virginia,10,25,20,2,5,0,0,0,4,0,0,2,2,0.25,0.348,0.25,0.598,5,,1,2,0,0,,player.fcgi?id=blakel000dre
Ernie Clement,21,2017,Virginia,58,285,254,56,80,5,1,2,34,14,2,13,7,0.315,0.345,0.366,0.711,93,,3,7,8,0,,player.fcgi?id=clemen000ern
Charlie Cody,21,2017,Virginia,32,88,67,17,17,5,0,4,16,3,0,12,12,0.254,0.407,0.507,0.914,34,,6,2,1,0,,player.fcgi?id=cody--000cha
Robbie Coman,23,2017,Virginia,52,232,199,28,69,14,0,5,40,3,2,18,17,0.347,0.402,0.492,0.894,98,,5,3,7,0,,player.fcgi?id=coman-000rob
Cam Comer*,20,2017,Virginia,16,22,19,1,2,0,0,0,1,0,0,3,3,0.105,0.227,0.105,0.333,2,,0,0,0,0,,player.fcgi?id=comer-000cam
Nate Eikhoff*,20,2017,Virginia,46,154,126,26,35,7,0,1,15,1,0,12,11,0.278,0.336,0.357,0.693,45,,1,11,4,3,,player.fcgi?id=eikhof000nat
Jalen Harrison,20,2017,Virginia,15,10,7,5,1,0,0,1,1,0,0,1,4,0.143,0.4,0.571,0.971,4,,2,0,0,0,,player.fcgi?id=harris001jal
Adam Haseley*,21,2017,Virginia,58,270,223,68,87,16,1,14,56,10,4,44,21,0.39,0.491,0.659,1.15,147,,1,1,1,0,,player.fcgi?id=hasele000ada
Caleb Knight,21,2017,Virginia,42,157,113,32,34,5,1,4,20,1,1,27,29,0.301,0.474,0.469,0.943,53,,13,1,3,0,,player.fcgi?id=knight002cal
Jake McCarthy*,19,2017,Virginia,59,279,237,57,80,11,7,5,36,27,2,26,35,0.338,0.425,0.506,0.932,120,,11,4,1,0,,player.fcgi?id=mccart005jac
Justin Novak,21,2017,Virginia,44,151,129,24,38,9,0,1,14,3,0,13,13,0.295,0.377,0.388,0.764,50,,4,5,0,0,,player.fcgi?id=novak-000jus
Cayman Richardson,19,2017,Virginia,19,45,39,8,9,0,1,0,2,0,0,3,2,0.231,0.302,0.282,0.584,11,,1,2,0,0,,player.fcgi?id=richar000cay
Cameron Simmons,20,2017,Virginia,58,247,213,47,75,14,2,9,57,9,2,23,40,0.352,0.432,0.563,0.995,120,,7,4,0,0,,player.fcgi?id=simmon000cam
Pavin Smith*,21,2017,Virginia,59,274,228,53,78,11,1,13,77,2,0,38,12,0.342,0.427,0.57,0.997,130,,1,0,7,1,,player.fcgi?id=smith-000pav
Andy Weber*,19,2017,Virginia,52,226,187,35,52,8,4,2,43,4,1,20,25,0.278,0.349,0.396,0.744,74,,4,8,7,0,,player.fcgi?id=weber-000and
Andrew Abbott*,19,2018,Virginia,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,player.fcgi?id=abbott000and
Will Allocca,21,2018,Virginia,7,11,10,0,1,0,0,0,0,0,0,1,3,0.1,0.182,0.1,0.282,1,,0,0,0,0,,player.fcgi?id=allocc000wil
Charlie Cody,22,2018,Virginia,45,176,140,19,31,8,0,0,14,1,1,22,31,0.221,0.353,0.279,0.631,39,,8,3,3,1,,player.fcgi?id=cody--000cha
Cam Comer*,21,2018,Virginia,45,172,138,28,36,8,0,4,15,1,1,25,33,0.261,0.389,0.406,0.795,56,,4,5,0,1,,player.fcgi?id=comer-000cam
Nate Eikhoff*,21,2018,Virginia,54,243,192,28,56,9,1,3,37,4,3,30,24,0.292,0.387,0.396,0.783,76,,5,8,8,5,,player.fcgi?id=eikhof000nat
Jack Gerstenmaier,23,2018,Virginia,4,3,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,,player.fcgi?id=gerste002jac
Jalen Harrison,21,2018,Virginia,10,9,6,3,2,0,1,0,2,1,0,3,2,0.333,0.556,0.667,1.222,4,,0,0,0,0,,player.fcgi?id=harris001jal
Christian Hlinka*,18,2018,Virginia,16,20,20,3,5,0,0,0,3,0,0,0,5,0.25,0.25,0.25,0.5,5,,0,0,0,0,,player.fcgi?id=hlinka000chr
Caleb Knight,22,2018,Virginia,42,170,133,25,30,7,0,3,18,0,1,21,26,0.226,0.383,0.346,0.729,46,,13,3,0,0,,player.fcgi?id=knight002cal
Jake McCarthy*,20,2018,Virginia,20,100,82,17,27,7,0,0,12,9,0,10,9,0.329,0.414,0.415,0.829,34,,4,1,3,2,,player.fcgi?id=mccart005jac
Tanner Morris*,20,2018,Virginia,51,241,198,39,59,9,0,2,20,1,1,31,29,0.298,0.397,0.374,0.771,74,,3,7,2,2,,player.fcgi?id=morris000tan
Justin Novak,22,2018,Virginia,45,176,153,24,42,4,0,0,14,3,3,14,16,0.275,0.339,0.301,0.64,46,,2,5,2,0,,player.fcgi?id=novak-000jus
Devin Ortiz,19,2018,Virginia,23,65,60,6,10,2,1,0,5,0,0,2,15,0.167,0.231,0.233,0.464,14,,3,0,0,0,,player.fcgi?id=ortiz-001dev
Andrew Papantonis,19,2018,Virginia,12,22,16,1,4,1,0,1,4,0,0,4,7,0.25,0.455,0.5,0.955,8,,2,0,0,0,,player.fcgi?id=papant000and
Cayman Richardson,20,2018,Virginia,47,184,156,24,40,7,0,0,18,7,0,16,21,0.256,0.343,0.301,0.644,47,,5,6,1,0,,player.fcgi?id=richar000cay
Brendan Rivoli*,19,2018,Virginia,33,91,85,11,21,5,1,2,15,0,1,4,17,0.247,0.297,0.4,0.697,34,,2,0,0,0,,player.fcgi?id=rivoli000bre
Alex Tappen,19,2018,Virginia,54,236,210,24,55,13,1,4,36,3,2,14,37,0.262,0.321,0.39,0.711,82,,6,2,4,0,,player.fcgi?id=tappen000ale
Andy Weber*,20,2018,Virginia,54,248,209,42,72,19,3,5,49,4,0,22,32,0.344,0.415,0.536,0.951,112,,8,2,7,2,,player.fcgi?id=weber-000and
Jack Weiller*,20,2018,Virginia,17,32,30,7,7,2,0,3,7,0,0,1,1,0.233,0.258,0.6,0.858,18,,0,1,0,0,,player.fcgi?id=weille000jac
Will Allocca,22,2019,Virginia,5,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,,player.fcgi?id=allocc000wil
Drew Blakely,21,2019,Virginia,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,player.fcgi?id=blakel000dre
Cam Comer*,22,2019,Virginia,24,73,53,14,12,3,0,0,6,0,0,17,16,0.226,0.411,0.283,0.694,15,,1,0,2,0,,player.fcgi?id=comer-000cam
Jack Dragum,19,2019,Virginia,10,15,13,1,2,0,0,0,1,0,0,2,3,0.154,0.267,0.154,0.421,2,,0,0,0,0,,player.fcgi?id=dragum000jac
Nate Eikhoff*,22,2019,Virginia,56,240,204,30,54,10,2,3,32,3,0,23,38,0.265,0.342,0.377,0.719,77,,3,6,4,0,,player.fcgi?id=eikhof000nat
Zack Gelof,19,2019,Virginia,56,264,227,38,71,13,0,2,32,16,3,24,52,0.313,0.377,0.396,0.773,90,,3,4,6,0,,player.fcgi?id=gelof-000zac
Drew Hamrock,19,2019,Virginia,23,32,27,8,7,2,0,0,3,2,1,3,9,0.259,0.375,0.333,0.708,9,,2,0,0,0,,player.fcgi?id=hamroc000dre
Ben Harris*,19,2019,Virginia,7,5,4,0,0,0,0,0,0,0,0,1,2,0,0.2,0,0.2,0,,0,0,0,0,,player.fcgi?id=harris009ben
Nic Kent,19,2019,Virginia,55,247,202,38,68,9,3,3,42,17,4,25,37,0.337,0.417,0.455,0.872,92,,5,12,3,0,,player.fcgi?id=kent--000nic
Logan Michaels,20,2019,Virginia,45,155,135,20,42,4,0,0,20,3,1,7,12,0.311,0.38,0.341,0.721,46,,8,5,0,0,,player.fcgi?id=michae001log
Tanner Morris*,21,2019,Virginia,56,270,223,56,77,21,0,5,38,3,1,41,38,0.345,0.452,0.507,0.959,113,,4,0,2,4,,player.fcgi?id=morris000tan
Devin Ortiz,20,2019,Virginia,27,24,19,8,8,0,0,1,3,0,0,2,3,0.421,0.478,0.579,1.057,11,,1,1,1,0,,player.fcgi?id=ortiz-001dev
Cayman Richardson,21,2019,Virginia,51,187,163,29,44,5,3,1,16,4,3,12,46,0.27,0.328,0.356,0.684,58,,3,7,2,0,,player.fcgi?id=richar000cay
Brendan Rivoli*,20,2019,Virginia,51,233,206,39,66,13,1,5,42,5,2,13,29,0.32,0.386,0.466,0.852,96,,11,0,3,3,,player.fcgi?id=rivoli000bre
Cameron Simmons,22,2019,Virginia,55,245,208,38,54,12,0,5,34,12,0,27,51,0.26,0.363,0.389,0.753,81,,8,0,2,0,,player.fcgi?id=simmon000cam
Alex Tappen,20,2019,Virginia,46,145,127,28,29,5,0,3,23,4,1,11,24,0.228,0.303,0.339,0.642,43,,4,0,3,0,,player.fcgi?id=tappen000ale
Jack Weiller*,21,2019,Virginia,43,132,109,12,29,9,0,0,20,0,1,13,10,0.266,0.341,0.349,0.69,38,,2,3,5,1,,player.fcgi?id=weille000jac
Tate Ballestero#,19,2020,Virginia,9,14,12,2,1,0,1,0,2,0,0,1,2,0.083,0.214,0.25,0.464,3,,1,0,0,0,,player.fcgi?id=balles000tat
Max Cotier*,19,2020,Virginia,18,86,74,21,25,3,4,1,15,3,0,8,12,0.338,0.41,0.527,0.937,39,,1,3,0,0,,player.fcgi?id=cotier000max
Zack Gelof,20,2020,Virginia,18,82,63,24,22,6,2,5,18,4,3,13,18,0.349,0.469,0.746,1.215,47,,3,1,2,0,,player.fcgi?id=gelof-000zac
Drew Hamrock,20,2020,Virginia,11,30,19,8,5,2,0,0,5,0,0,7,3,0.263,0.483,0.368,0.851,7,,2,1,1,0,,player.fcgi?id=hamroc000dre
Christian Hlinka*,20,2020,Virginia,11,27,25,7,8,0,1,4,9,0,0,2,9,0.32,0.37,0.88,1.25,22,,0,0,0,0,,player.fcgi?id=hlinka000chr
Walker Jenkins*,22,2020,Virginia,4,12,11,1,1,0,0,0,0,0,1,1,0,0.091,0.167,0.091,0.258,1,,0,0,0,0,,player.fcgi?id=jenkin000wal
Nic Kent,20,2020,Virginia,18,83,67,17,22,4,0,1,7,6,0,11,10,0.328,0.451,0.433,0.884,29,,4,1,0,0,,player.fcgi?id=kent--000nic
Marc-Antoine Lebreux*,21,2020,Virginia,18,83,66,18,20,5,0,0,14,4,0,13,7,0.303,0.425,0.379,0.804,25,,1,3,0,0,,player.fcgi?id=lebreu000mar
Logan Michaels,21,2020,Virginia,18,68,57,17,18,6,0,1,16,2,0,5,4,0.316,0.403,0.474,0.877,27,,4,1,1,0,,player.fcgi?id=michae001log
Chris Newell*,19,2020,Virginia,18,78,59,21,24,5,1,4,20,8,0,13,21,0.407,0.545,0.729,1.274,43,,5,1,0,0,,player.fcgi?id=newell002chr
Devin Ortiz,21,2020,Virginia,17,73,55,11,14,3,0,2,14,3,0,13,8,0.255,0.403,0.418,0.821,23,,2,1,2,1,,player.fcgi?id=ortiz-001dev
Brendan Rivoli*,21,2020,Virginia,14,59,50,6,16,3,1,0,11,2,0,5,3,0.32,0.39,0.42,0.81,21,,2,0,2,0,,player.fcgi?id=rivoli000bre
Jimmy Sullivan*,20,2020,Virginia,10,33,30,7,7,0,0,4,7,2,0,1,6,0.233,0.281,0.633,0.915,19,,1,1,0,0,,player.fcgi?id=sulliv005jim
Alex Tappen,21,2020,Virginia,5,20,17,2,4,1,0,0,1,0,1,0,2,0.235,0.263,0.294,0.557,5,,1,1,1,0,,player.fcgi?id=tappen000ale
Tate Ballestero#,20,2021,Virginia,17,41,32,3,7,0,0,0,2,0,0,6,13,0.219,0.375,0.219,0.594,7,,2,1,0,0,,player.fcgi?id=balles000tat
Addie Burrow*,19,2021,Virginia,6,12,8,1,1,0,0,0,1,0,2,4,2,0.125,0.417,0.125,0.542,1,,0,0,0,0,,player.fcgi?id=burrow000add
Max Cotier*,20,2021,Virginia,60,270,229,30,60,8,1,0,30,3,2,23,34,0.262,0.344,0.306,0.649,70,,6,11,1,0,,player.fcgi?id=cotier000max
Jake Gelof,19,2021,Virginia,38,130,111,23,28,8,2,4,15,1,1,15,31,0.252,0.336,0.468,0.804,52,,0,2,2,0,,player.fcgi?id=gelof-000jak
Zack Gelof,21,2021,Virginia,63,299,260,50,81,18,0,9,41,12,1,32,40,0.312,0.393,0.485,0.877,126,,4,1,2,1,,player.fcgi?id=gelof-000zac
Drew Hamrock,21,2021,Virginia,9,7,6,1,1,0,0,0,0,1,1,1,2,0.167,0.286,0.167,0.452,1,,0,0,0,0,,player.fcgi?id=hamroc000dre
Christian Hlinka*,21,2021,Virginia,23,52,43,4,10,4,0,0,5,0,1,5,12,0.233,0.353,0.326,0.679,14,,3,1,0,1,,player.fcgi?id=hlinka000chr
Nic Kent,21,2021,Virginia,63,288,247,38,59,12,0,8,45,15,3,31,34,0.239,0.338,0.385,0.723,95,,7,1,2,0,,player.fcgi?id=kent--000nic
Marc-Antoine Lebreux*,22,2021,Virginia,42,87,69,12,16,1,0,0,6,5,2,14,24,0.232,0.369,0.246,0.615,17,,1,3,0,0,,player.fcgi?id=lebreu000mar
Logan Michaels,22,2021,Virginia,52,191,158,32,40,9,0,1,20,3,1,18,24,0.253,0.348,0.329,0.677,52,,6,7,2,1,,player.fcgi?id=michae001log
Chris Newell*,20,2021,Virginia,58,225,194,29,50,6,3,5,34,13,2,17,75,0.258,0.336,0.397,0.733,77,,7,5,2,2,,player.fcgi?id=newell002chr
Devin Ortiz,22,2021,Virginia,61,258,222,41,60,10,1,8,34,3,2,24,35,0.27,0.359,0.432,0.792,96,,8,2,2,1,,player.fcgi?id=ortiz-001dev
Brendan Rivoli*,22,2021,Virginia,52,220,195,26,53,10,1,1,24,4,0,9,33,0.272,0.333,0.349,0.682,68,,10,4,2,0,,player.fcgi?id=rivoli000bre
Jimmy Sullivan*,21,2021,Virginia,12,18,17,1,1,0,0,0,0,0,0,1,7,0.059,0.111,0.059,0.17,1,,0,0,0,0,,player.fcgi?id=sulliv005jim
Alex Tappen,22,2021,Virginia,55,164,145,24,33,10,0,6,24,2,1,14,38,0.228,0.309,0.421,0.729,61,,3,2,0,0,,player.fcgi?id=tappen000ale
Kyle Teel*,19,2021,Virginia,54,238,209,41,70,11,1,9,41,5,0,24,37,0.335,0.416,0.526,0.942,110,,5,0,0,1,,player.fcgi?id=teel--000kyl
Ethan Anderson#,18,2022,Virginia,50,186,159,35,48,12,2,5,39,0,0,21,38,0.302,0.403,0.497,0.9,79,4,6,0,0,0,,player.fcgi?id=anders001eth
Matthew Buchanan*,19,2022,Virginia,23,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,player.fcgi?id=buchan000mat
Addie Burrow*,20,2022,Virginia,5,3,3,2,2,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.333,2,0,0,0,0,0,,player.fcgi?id=burrow000add
Max Cotier*,21,2022,Virginia,45,161,136,24,35,4,1,0,23,6,1,18,26,0.257,0.342,0.301,0.643,41,0,0,6,1,0,,player.fcgi?id=cotier000max
Jake Gelof,20,2022,Virginia,58,262,212,65,80,15,2,21,81,3,0,41,49,0.377,0.477,0.764,1.241,162,1,4,0,5,5,,player.fcgi?id=gelof-000jak
Drew Hamrock,22,2022,Virginia,4,12,10,3,3,1,0,0,0,1,0,1,1,0.3,0.417,0.4,0.817,4,0,1,0,0,0,,player.fcgi?id=hamroc000dre
Chris Newell*,21,2022,Virginia,54,235,190,51,49,4,0,12,32,16,2,33,66,0.258,0.385,0.468,0.854,89,0,7,4,1,0,,player.fcgi?id=newell002chr
Griff O'Ferrall,19,2022,Virginia,58,275,227,56,70,5,1,2,39,17,2,38,26,0.308,0.406,0.366,0.772,83,4,2,4,4,1,,player.fcgi?id=oferra000gri
Devin Ortiz,23,2022,Virginia,58,263,217,47,62,12,0,7,47,3,0,32,34,0.286,0.389,0.438,0.827,95,11,8,1,5,1,,player.fcgi?id=ortiz-001dev
Justin Rubin,19,2022,Virginia,36,104,87,19,29,7,0,1,13,3,3,11,7,0.333,0.426,0.448,0.874,39,0,3,3,0,0,,player.fcgi?id=rubin-000jus
Casey Saucke,18,2022,Virginia,53,217,186,44,67,16,3,7,46,6,3,23,62,0.36,0.438,0.591,1.029,110,2,5,0,3,0,,player.fcgi?id=saucke002cas
Tristan Shoemaker,19,2022,Virginia,15,21,19,3,3,1,0,0,2,0,0,2,4,0.158,0.238,0.211,0.449,4,0,0,0,0,0,,player.fcgi?id=shoema001tri
Anthony Stephan*,19,2022,Virginia,21,34,25,6,5,1,0,0,4,0,0,6,4,0.2,0.353,0.24,0.593,6,1,1,0,2,0,,player.fcgi?id=stepha000ant
Jimmy Sullivan*,22,2022,Virginia,19,21,18,2,4,0,0,0,1,0,0,2,3,0.222,0.333,0.222,0.556,4,0,1,0,0,0,,player.fcgi?id=sulliv005jim
Alex Tappen,23,2022,Virginia,58,260,227,50,83,15,1,13,71,3,2,19,40,0.366,0.421,0.612,1.033,139,6,7,1,6,0,,player.fcgi?id=tappen000ale
Kyle Teel*,20,2022,Virginia,58,277,221,62,61,12,3,6,45,3,2,41,36,0.276,0.402,0.439,0.841,97,1,9,1,5,0,,player.fcgi?id=teel--000kyl
Colin Tuft,19,2022,Virginia,37,117,96,30,28,1,2,1,15,3,0,13,18,0.292,0.41,0.375,0.785,36,4,7,0,1,0,,player.fcgi?id=tuft--000col
Jay Woolfolk,19,2022,Virginia,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,player.fcgi?id=woolfo000jay
Ethan Anderson#,19,2023,Virginia,65,308,259,71,97,26,0,15,66,3,1,42,32,0.375,0.469,0.649,1.118,168,10,5,1,1,3,,player.fcgi?id=anders001eth
Chris Baker*,24,2023,Virginia,27,36,32,4,10,4,0,0,12,0,0,4,5,0.313,0.389,0.438,0.826,14,0,0,0,0,0,,player.fcgi?id=baker-009chr
Matthew Buchanan*,20,2023,Virginia,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,player.fcgi?id=buchan000mat
Tommy Courtney*,23,2023,Virginia,12,11,9,1,3,1,0,0,3,0,0,1,2,0.333,0.364,0.444,0.808,4,1,0,0,1,0,,player.fcgi?id=courtn001tom
Harrison Didawick*,20,2023,Virginia,53,201,159,44,40,6,5,4,34,10,1,25,39,0.252,0.366,0.428,0.794,68,4,6,7,4,0,,player.fcgi?id=didawi000har
Jake Gelof,21,2023,Virginia,65,307,252,71,81,23,3,23,90,3,2,48,50,0.321,0.427,0.71,1.137,179,3,2,0,5,3,,player.fcgi?id=gelof-000jak
Henry Godbout,19,2023,Virginia,56,222,189,37,54,13,1,3,38,9,0,14,31,0.286,0.376,0.413,0.789,78,4,14,4,1,0,,player.fcgi?id=godbou000hen
Luke Hanson,19,2023,Virginia,26,56,45,16,16,3,0,0,9,0,0,6,7,0.356,0.473,0.422,0.895,19,0,4,1,0,0,,player.fcgi?id=hanson003luk
Bradley Hodges*,19,2023,Virginia,20,2,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0.5,0,0,1,0,0,0,,player.fcgi?id=hodges003bra
Ethan O'Donnell*,21,2023,Virginia,65,312,254,71,90,18,1,13,57,18,5,36,57,0.354,0.448,0.587,1.034,149,4,11,6,5,0,,player.fcgi?id=odonne000eth
Griff O'Ferrall,20,2023,Virginia,65,313,273,76,108,20,2,1,42,16,2,29,38,0.396,0.453,0.495,0.948,135,4,3,4,4,0,,player.fcgi?id=oferra000gri
Travis Reifsnider*,24,2023,Virginia,20,24,17,4,2,0,0,0,3,0,0,4,5,0.118,0.375,0.118,0.493,2,0,3,0,0,0,,player.fcgi?id=reifsn000tra
Justin Rubin,20,2023,Virginia,28,72,58,12,11,1,0,1,10,1,2,5,7,0.19,0.31,0.259,0.568,15,2,6,1,2,0,,player.fcgi?id=rubin-000jus
Casey Saucke,19,2023,Virginia,65,291,251,50,75,16,1,4,48,10,2,29,51,0.299,0.392,0.418,0.81,105,7,10,0,1,1,,player.fcgi?id=saucke002cas
Anthony Stephan*,20,2023,Virginia,55,201,158,38,52,13,1,5,35,4,1,28,25,0.329,0.449,0.519,0.968,82,3,9,3,3,0,,player.fcgi?id=stepha000ant
Kyle Teel*,21,2023,Virginia,65,297,258,67,105,25,0,13,69,5,1,32,36,0.407,0.475,0.655,1.13,169,5,4,0,3,1,,player.fcgi?id=teel--000kyl
Colin Tuft,20,2023,Virginia,41,115,94,20,22,3,0,1,17,5,3,16,32,0.234,0.368,0.298,0.666,28,1,4,1,0,0,,player.fcgi?id=tuft--000col
Ethan Anderson#,20,2024,Virginia,63,301,248,67,82,20,0,8,40,5,2,40,32,0.331,0.435,0.508,0.943,126,5,9,0,4,3,,player.fcgi?id=anders001eth
Eric Becker*,19,2024,Virginia,45,159,127,36,46,9,3,8,46,4,1,17,30,0.362,0.468,0.669,1.137,85,0,10,3,2,1,,player.fcgi?id=becker000eri
