Name,Age,Season,Team,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,Name-additional
Tomas Frick,20,2021,North Carolina,53,206,191,23,49,11,0,2,16,0,0,12,34,0.257,0.307,0.346,0.653,66,,2,1,0,0,,player.fcgi?id=frick-000tom
Eric Grintz,21,2021,North Carolina,16,26,22,1,5,1,0,0,3,0,0,4,10,0.227,0.346,0.273,0.619,6,,0,0,0,0,,player.fcgi?id=grintz000eri
Jake Holtzapple?,--,2021,North Carolina,20,31,28,0,7,0,0,0,7,0,0,1,9,0.25,0.258,0.25,0.508,7,,0,0,2,0,,player.fcgi?id=holtza000jak
Mac Horvath,19,2021,North Carolina,46,136,119,13,27,4,0,5,22,0,0,15,23,0.227,0.311,0.387,0.698,46,,0,1,1,1,,player.fcgi?id=horvat000mac
Clemente Inclan*,22,2021,North Carolina,33,78,66,13,14,1,0,6,13,0,0,8,32,0.212,0.333,0.5,0.833,33,,4,0,0,1,,player.fcgi?id=inclan000cle
Mikey Madej#,23,2021,North Carolina,22,23,20,5,2,0,0,0,1,0,0,2,5,0.1,0.174,0.1,0.274,2,,0,0,1,0,,player.fcgi?id=madej-000mik
Jack Riedel*,19,2021,North Carolina,8,10,10,0,2,1,0,0,0,0,0,0,6,0.2,0.2,0.3,0.5,3,,0,0,0,0,,player.fcgi?id=riedel000jac
Max Riemer*,21,2021,North Carolina,15,36,31,3,8,2,0,1,5,0,0,3,8,0.258,0.361,0.419,0.78,13,,2,0,0,0,,player.fcgi?id=riemer000max
Caleb Roberts*,21,2021,North Carolina,55,252,189,44,51,7,1,10,36,6,2,44,41,0.27,0.442,0.476,0.918,90,,16,1,2,3,,player.fcgi?id=robert002cal
Will Schroeder,21,2021,North Carolina,5,11,9,4,3,1,0,0,0,0,0,2,4,0.333,0.455,0.444,0.899,4,,0,0,0,0,,player.fcgi?id=schroe003wil
Danny Serretti#,21,2021,North Carolina,55,241,213,32,53,18,3,9,39,3,1,24,48,0.249,0.332,0.488,0.82,104,,3,0,1,0,,player.fcgi?id=serret000dan
Will Stewart*,20,2021,North Carolina,7,18,16,2,4,0,0,1,5,0,0,2,7,0.25,0.333,0.438,0.771,7,,0,0,0,0,,player.fcgi?id=stewar011wil
Hunter Stokely*,20,2021,North Carolina,12,27,27,2,5,1,0,2,3,0,0,0,9,0.185,0.185,0.444,0.63,12,,0,0,0,0,,player.fcgi?id=stokel000hun
Dallas Tessar,24,2021,North Carolina,37,118,94,18,23,9,0,4,16,0,1,15,31,0.245,0.383,0.468,0.851,44,,6,3,0,0,,player.fcgi?id=tessar000dal
Justice Thompson,20,2021,North Carolina,54,241,207,36,63,8,0,7,24,15,2,25,67,0.304,0.386,0.444,0.83,92,,5,0,4,0,,player.fcgi?id=thomps006jus
Max Troiani,22,2021,North Carolina,13,30,26,5,6,3,0,0,1,0,0,3,10,0.231,0.3,0.346,0.646,9,,0,0,1,0,,player.fcgi?id=troian000max
Colby Wilkerson#,20,2021,North Carolina,33,73,63,10,16,3,0,0,5,1,0,5,16,0.254,0.324,0.302,0.626,19,,2,2,1,0,,player.fcgi?id=wilker000col
Angel Zarate*,21,2021,North Carolina,48,220,179,33,58,7,3,6,32,3,6,31,24,0.324,0.424,0.497,0.921,89,,3,3,4,0,,player.fcgi?id=zarate000ang
Patrick Alvarez,21,2022,North Carolina,21,39,34,11,5,0,0,1,6,0,0,5,2,0.147,0.256,0.235,0.492,8,0,0,0,0,0,,player.fcgi?id=alvare000pat
Johnny Castagnozzi,20,2022,North Carolina,58,242,206,36,53,9,0,10,30,1,1,23,47,0.257,0.363,0.447,0.809,92,5,11,2,0,0,,player.fcgi?id=castag000joh
Tyler Causey*,21,2022,North Carolina,5,6,6,0,1,0,0,0,2,0,0,0,3,0.167,0.167,0.167,0.333,1,0,0,0,0,0,,player.fcgi?id=causey000tyl
Casey Cook*,19,2022,North Carolina,4,9,8,0,0,0,0,0,1,0,0,0,4,0,0.111,0,0.111,0,0,1,0,0,0,,player.fcgi?id=cook--000cas
Brandon Eike,20,2022,North Carolina,4,5,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,player.fcgi?id=eike--000bra
Tomas Frick,21,2022,North Carolina,61,252,215,22,56,15,0,3,33,0,0,18,38,0.26,0.348,0.372,0.72,80,4,13,2,4,0,,player.fcgi?id=frick-000tom
Eric Grintz,22,2022,North Carolina,26,37,29,6,9,1,0,1,9,0,0,6,7,0.31,0.432,0.448,0.881,13,0,1,0,1,0,,player.fcgi?id=grintz000eri
Reece Holbrook*,20,2022,North Carolina,26,27,25,9,4,1,1,0,3,2,1,1,10,0.16,0.192,0.28,0.472,7,1,0,1,0,0,,player.fcgi?id=holbro000ree
Vance Honeycutt,19,2022,North Carolina,64,303,247,66,73,10,4,25,57,29,5,41,90,0.296,0.409,0.672,1.081,166,0,8,5,2,0,,player.fcgi?id=honeyc000rob
Mac Horvath,20,2022,North Carolina,63,300,246,64,66,15,1,18,53,19,3,46,57,0.268,0.39,0.557,0.947,137,2,5,0,3,0,,player.fcgi?id=horvat000mac
Clemente Inclan*,23,2022,North Carolina,5,6,5,0,0,0,0,0,0,0,0,0,4,0,0.167,0,0.167,0,0,1,0,0,0,,player.fcgi?id=inclan000cle
Joe Jaconski*,19,2022,North Carolina,20,26,23,1,4,0,0,0,0,0,0,2,6,0.174,0.269,0.174,0.443,4,1,1,0,0,0,,player.fcgi?id=jacons000joe
Mikey Madej#,24,2022,North Carolina,60,189,160,27,52,5,2,4,25,2,0,18,21,0.325,0.41,0.456,0.866,73,1,7,1,3,0,,player.fcgi?id=madej-000mik
Alberto Osuna,21,2022,North Carolina,63,272,234,40,62,7,0,20,57,1,0,27,86,0.265,0.36,0.551,0.912,129,2,9,0,2,1,,player.fcgi?id=osuna-000alb
Max Riemer*,22,2022,North Carolina,23,34,27,1,5,1,0,0,3,0,0,4,7,0.185,0.353,0.222,0.575,6,1,3,0,0,0,,player.fcgi?id=riemer000max
Danny Serretti#,22,2022,North Carolina,64,302,263,56,96,17,3,10,54,2,0,32,38,0.365,0.437,0.567,1.004,149,5,4,0,3,0,,player.fcgi?id=serret000dan
