Name,Age,Season,Team,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,Name-additional
Jon Surber?,--,2011,Clemson,,,,0,,0,,,0,,6.1,4,1,0,,4,,6,,,,,1.263,5.7,,5.7,8.5,1.5,,player.fcgi?id=surber000jon
Scott Weismann,21,2011,Clemson,,,,4.89,,8,,,0,,57,62,34,31,,17,,51,,,,,1.386,9.8,,2.7,8.1,3,,player.fcgi?id=weisma001sco
Patrick Andrews,19,2012,Clemson,2,3,0.4,5.52,20,0,,,0,2,29.1,29,22,18,1,15,0,25,3,0,7,130,1.5,8.9,0.3,4.6,7.7,1.67,,player.fcgi?id=andrew002pat
Kyle Bailey?,--,2012,Clemson,0,0,,0,2,0,,,0,0,1,2,0,0,0,1,0,1,0,0,0,7,3,18,0,9,9,1,,player.fcgi?id=bailey000kyl
Clay Bates?,--,2012,Clemson,0,0,,7.27,9,0,,,0,0,8.2,13,7,7,0,2,0,3,5,1,1,46,1.731,13.5,0,2.1,3.1,1.5,,player.fcgi?id=bates-002cla
Kevin Brady,21,2012,Clemson,1,3,0.25,2.54,14,11,,,0,0,63.2,54,22,18,5,24,0,62,5,3,6,265,1.225,7.6,0.7,3.4,8.8,2.58,,player.fcgi?id=brady-001kev
Matt Campbell,20,2012,Clemson,1,2,0.333,2.49,13,0,,,0,2,25.1,19,8,7,1,11,0,29,2,0,2,107,1.184,6.8,0.4,3.9,10.3,2.64,,player.fcgi?id=campbe004mat
Scott Firth,21,2012,Clemson,4,0,1,2.09,24,0,,,0,3,51.2,44,15,12,2,33,3,44,5,0,5,238,1.49,7.7,0.3,5.7,7.7,1.33,,player.fcgi?id=firth-001sco
Daniel Gossett,19,2012,Clemson,6,3,0.667,4.32,19,10,,,0,2,77,62,37,37,4,39,0,87,6,0,9,332,1.312,7.2,0.5,4.6,10.2,2.23,,player.fcgi?id=gosset000dan
David Haselden,22,2012,Clemson,4,2,0.667,3.78,18,5,,,0,1,47.2,61,23,20,2,20,0,33,6,0,5,223,1.699,11.5,0.4,3.8,6.2,1.65,,player.fcgi?id=haseld000dav
Mike Kent?,--,2012,Clemson,1,2,0.333,3.76,21,1,,,0,2,38.1,42,20,16,2,10,0,21,5,0,4,171,1.357,9.9,0.5,2.3,4.9,2.1,,player.fcgi?id=kent--000mik
Dominic Leone,20,2012,Clemson,7,4,0.636,5.25,16,16,,,0,0,84,90,52,49,10,41,0,66,7,3,4,372,1.56,9.6,1.1,4.4,7.1,1.61,,player.fcgi?id=leone-000dom
Jonathan Meyer?,--,2012,Clemson,2,5,0.286,3.96,24,6,,,0,1,63.2,79,33,28,3,18,1,38,4,0,2,287,1.524,11.2,0.4,2.5,5.4,2.11,,player.fcgi?id=meyer-002jon
Joseph Moorefield*,22,2012,Clemson,0,0,,6.23,19,0,,,0,0,8.2,13,7,6,1,2,0,11,2,0,0,44,1.731,13.5,1,2.1,11.4,5.5,,player.fcgi?id=mooref000jos
Kevin Pohle,20,2012,Clemson,7,4,0.636,3.66,16,14,,,0,0,76.1,80,43,31,4,32,2,40,3,1,3,336,1.467,9.4,0.5,3.8,4.7,1.25,,player.fcgi?id=pohle-000kev
Patrick Andrews,20,2013,Clemson,1,1,0.5,2.87,23,1,,,0,0,37.2,30,15,12,1,10,0,25,3,1,0,154,1.062,7.2,0.2,2.4,6,2.5,,player.fcgi?id=andrew002pat
Clay Bates?,--,2013,Clemson,1,0,1,3.6,10,0,,,0,0,10,9,6,4,0,6,1,4,5,0,1,48,1.5,8.1,0,5.4,3.6,0.67,,player.fcgi?id=bates-002cla
Jackson Campana?,--,2013,Clemson,0,0,,2.61,8,0,,,0,0,10.1,11,4,3,0,8,0,8,1,0,3,47,1.839,9.6,0,7,7,1,,player.fcgi?id=campan000jac
Matt Campbell,21,2013,Clemson,1,1,0.5,4.82,24,0,,,0,7,28,19,16,15,2,13,0,35,0,0,3,113,1.143,6.1,0.6,4.2,11.3,2.69,,player.fcgi?id=campbe004mat
Matt Crownover*,20,2013,Clemson,7,3,0.7,2.19,15,14,,,0,0,70,64,19,17,4,17,0,45,6,0,1,283,1.157,8.2,0.5,2.2,5.8,2.65,,player.fcgi?id=crowno000mat
Zack Erwin*,19,2013,Clemson,5,2,0.714,3.45,22,6,,,0,2,60,53,27,23,2,20,0,32,5,1,2,253,1.217,8,0.3,3,4.8,1.6,,player.fcgi?id=erwin-000zac
Scott Firth,22,2013,Clemson,6,5,0.545,3.23,19,6,,,0,4,61.1,63,30,22,2,18,2,41,6,1,2,270,1.321,9.2,0.3,2.6,6,2.28,,player.fcgi?id=firth-001sco
Daniel Gossett,20,2013,Clemson,10,4,0.714,2.56,16,16,,,1,0,98.1,78,40,28,7,38,0,91,8,1,16,420,1.18,7.1,0.6,3.5,8.3,2.39,,player.fcgi?id=gosset000dan
Mike Kent?,--,2013,Clemson,1,1,0.5,3.38,13,0,,,0,0,18.2,24,9,7,1,2,0,12,0,0,0,81,1.393,11.6,0.5,1,5.8,6,,player.fcgi?id=kent--000mik
Brody Koerner,19,2013,Clemson,1,1,0.5,3.99,10,5,,,0,0,29.1,24,20,13,1,22,0,28,4,0,6,139,1.568,7.4,0.3,6.8,8.6,1.27,,player.fcgi?id=koerne000bro
Jonathan Meyer?,--,2013,Clemson,2,0,1,3.28,19,3,,,0,0,46.2,61,18,17,2,7,0,37,3,0,2,206,1.457,11.8,0.4,1.4,7.1,5.29,,player.fcgi?id=meyer-002jon
Joseph Moorefield*,23,2013,Clemson,0,0,,1.69,15,0,,,0,0,5.1,7,3,1,1,5,0,2,0,0,1,28,2.25,11.8,1.7,8.4,3.4,0.4,,player.fcgi?id=mooref000jos
Clate Schmidt,19,2013,Clemson,3,4,0.429,5.34,16,11,,,0,0,55.2,82,39,33,2,26,0,25,7,1,4,278,1.94,13.3,0.3,4.2,4,0.96,,player.fcgi?id=schmid000cla
Kyle Schnell?,--,2013,Clemson,2,0,1,2.84,24,0,,,0,2,31.2,35,13,10,0,10,0,22,5,2,1,143,1.421,9.9,0,2.8,6.3,2.2,,player.fcgi?id=schnel000kyl
Patrick Andrews,21,2014,Clemson,0,0,,7.2,6,0,,,0,0,5,8,5,4,2,2,0,4,0,0,0,26,2,14.4,3.6,3.6,7.2,2,,player.fcgi?id=andrew002pat
Clay Bates?,--,2014,Clemson,0,1,0,4.11,27,0,,,0,1,30.2,29,17,14,1,18,0,26,3,0,5,140,1.533,8.5,0.3,5.3,7.6,1.44,,player.fcgi?id=bates-002cla
Alex Bostic*,19,2014,Clemson,0,1,0,27,8,1,,,0,0,4.1,9,16,13,1,11,0,3,0,0,2,33,4.615,18.7,2.1,22.8,6.2,0.27,,player.fcgi?id=bostic000ale
Jackson Campana?,--,2014,Clemson,0,0,,6.75,3,0,,,0,0,2.2,1,2,2,0,1,0,2,1,0,0,11,0.75,3.4,0,3.4,6.8,2,,player.fcgi?id=campan000jac
Matt Campbell,22,2014,Clemson,4,0,1,0.84,25,0,,,0,8,32,16,4,3,1,15,1,45,2,0,2,130,0.969,4.5,0.3,4.2,12.7,3,,player.fcgi?id=campbe004mat
Matt Crownover*,21,2014,Clemson,8,6,0.571,2.9,17,16,,,0,0,99.1,94,45,32,4,20,0,90,8,1,7,418,1.148,8.5,0.4,1.8,8.2,4.5,,player.fcgi?id=crowno000mat
Zack Erwin*,20,2014,Clemson,4,3,0.571,4.21,26,7,,,1,2,72.2,59,39,34,4,28,0,62,9,0,4,309,1.197,7.3,0.5,3.5,7.7,2.21,,player.fcgi?id=erwin-000zac
Daniel Gossett,21,2014,Clemson,7,2,0.778,1.93,15,15,,,2,0,107.1,78,25,23,4,30,1,107,7,0,9,433,1.006,6.5,0.3,2.5,9,3.57,,player.fcgi?id=gosset000dan
Brody Koerner,20,2014,Clemson,0,1,0,15.63,5,2,,,0,0,6.1,10,11,11,1,10,0,9,0,1,0,38,3.158,14.2,1.4,14.2,12.8,0.9,,player.fcgi?id=koerne000bro
Jake Long,22,2014,Clemson,3,3,0.5,5.3,16,12,,,0,0,56,55,36,33,3,32,0,42,5,1,3,259,1.554,8.8,0.5,5.1,6.8,1.31,,player.fcgi?id=long--001jak
Garrett Lovorn?,--,2014,Clemson,0,0,,5.06,9,0,,,0,0,10.2,10,7,6,1,7,0,10,4,0,5,55,1.594,8.4,0.8,5.9,8.4,1.43,,player.fcgi?id=lovorn000gar
Drew Moyer,18,2014,Clemson,5,1,0.833,3.46,28,0,,,0,2,39,40,20,15,0,22,0,32,1,0,5,177,1.59,9.2,0,5.1,7.4,1.45,,player.fcgi?id=moyer-000dre
Kevin Pohle,22,2014,Clemson,0,0,,10.97,5,0,,,0,0,10.2,18,13,13,1,5,0,5,1,0,2,56,2.156,15.2,0.8,4.2,4.2,1,,player.fcgi?id=pohle-000kev
Clate Schmidt,20,2014,Clemson,5,7,0.417,3.68,20,8,,,0,0,66,65,34,27,1,28,1,53,12,1,9,303,1.409,8.9,0.1,3.8,7.2,1.89,,player.fcgi?id=schmid000cla
Kyle Schnell?,--,2014,Clemson,0,0,,45,5,0,,,0,0,1,4,5,5,0,3,0,0,5,0,0,15,7,36,0,27,0,0,,player.fcgi?id=schnel000kyl
Wales Toney,19,2014,Clemson,0,0,,12.46,4,0,,,0,0,4.1,6,6,6,2,5,0,6,2,0,1,27,2.538,12.5,4.2,10.4,12.5,1.2,,player.fcgi?id=toney-000wal
Charlie Barnes*,19,2015,Clemson,1,2,0.333,3.38,12,2,,,0,0,24,26,15,9,1,8,0,23,2,0,3,111,1.417,9.8,0.4,3,8.6,2.88,,player.fcgi?id=barnes006cha
Clay Bates?,--,2015,Clemson,0,0,,17.18,6,0,,,0,0,3.2,9,7,7,0,3,0,2,1,0,0,22,3.273,22.1,0,7.4,4.9,0.67,,player.fcgi?id=bates-002cla
Alex Bostic*,20,2015,Clemson,0,2,0,5.25,15,0,,,0,0,12,14,9,7,0,7,0,11,1,0,2,58,1.75,10.5,0,5.3,8.3,1.57,,player.fcgi?id=bostic000ale
Paul Campbell,19,2015,Clemson,0,2,0,7.4,13,1,,,0,1,20.2,27,18,17,3,9,0,24,1,1,2,100,1.742,11.8,1.3,3.9,10.5,2.67,,player.fcgi?id=campbe005pau
Matt Crownover*,22,2015,Clemson,10,3,0.769,1.82,16,16,,,0,0,109,72,28,22,7,37,1,108,2,0,6,435,1,5.9,0.6,3.1,8.9,2.92,,player.fcgi?id=crowno000mat
Zack Erwin*,21,2015,Clemson,7,4,0.636,3.04,17,16,,,0,0,106.2,108,51,36,7,16,0,92,4,2,1,454,1.163,9.1,0.6,1.4,7.8,5.75,,player.fcgi?id=erwin-000zac
Brody Koerner,21,2015,Clemson,4,5,0.444,7.55,16,12,,,1,0,62,89,57,52,5,22,0,63,10,2,11,307,1.79,12.9,0.7,3.2,9.1,2.86,,player.fcgi?id=koerne000bro
Pat Krall*,20,2015,Clemson,2,4,0.333,4.03,27,0,,,0,3,38,32,22,17,0,11,0,38,1,0,0,160,1.132,7.6,0,2.6,9,3.45,,player.fcgi?id=krall-000pat
Jake Long,23,2015,Clemson,2,1,0.667,2.17,13,7,,,0,0,49.2,37,17,12,6,22,0,39,2,0,4,208,1.188,6.7,1.1,4,7.1,1.77,,player.fcgi?id=long--001jak
Drew Moyer,19,2015,Clemson,1,0,1,1.74,10,0,,,0,2,10.1,10,2,2,1,5,0,15,1,0,0,47,1.452,8.7,0.9,4.4,13.1,3,,player.fcgi?id=moyer-000dre
Kevin Pohle,23,2015,Clemson,0,0,,5.06,10,0,,,0,0,10.2,11,6,6,3,6,0,4,1,0,0,51,1.594,9.3,2.5,5.1,3.4,0.67,,player.fcgi?id=pohle-000kev
Clate Schmidt,21,2015,Clemson,2,3,0.4,4.67,18,6,,,0,0,52,55,32,27,6,23,1,32,4,0,7,233,1.5,9.5,1,4,5.5,1.39,,player.fcgi?id=schmid000cla
Alex Schnell*,20,2015,Clemson,2,0,1,8.41,11,0,,,0,1,20.1,21,21,19,6,15,0,14,6,0,0,104,1.77,9.3,2.7,6.6,6.2,0.93,,player.fcgi?id=schnel000ale
Hunter Van Horn*,19,2015,Clemson,0,0,,6.14,10,0,,,0,0,7.1,7,5,5,1,6,0,7,0,0,3,34,1.773,8.6,1.2,7.4,8.6,1.17,,player.fcgi?id=vanhor000hun
Taylor Vetzel?,--,2015,Clemson,1,3,0.25,3.97,20,1,,,0,4,22.2,18,13,10,0,10,0,25,4,3,3,102,1.235,7.1,0,4,9.9,2.5,,player.fcgi?id=vetzel000tay
Patrick Andrews,23,2016,Clemson,1,0,1,2.31,19,0,,0,0,0,23.1,21,7,6,0,8,0,23,1,0,2,96,1.243,8.1,0,3.1,8.9,2.88,,player.fcgi?id=andrew002pat
Charlie Barnes*,20,2016,Clemson,6,4,0.6,4.66,16,16,,0,0,0,94.2,97,62,49,9,24,0,84,12,0,3,425,1.278,9.2,0.9,2.3,8,3.5,,player.fcgi?id=barnes006cha
Alex Bostic*,21,2016,Clemson,4,2,0.667,5.13,26,1,,0,0,2,33.1,26,21,19,2,27,1,44,2,0,6,156,1.59,7,0.5,7.3,11.9,1.63,,player.fcgi?id=bostic000ale
Jackson Campana?,--,2016,Clemson,0,0,,9,1,0,,0,0,0,1,1,1,1,0,1,0,1,1,0,2,6,2,9,0,9,9,1,,player.fcgi?id=campan000jac
Paul Campbell,20,2016,Clemson,0,0,,11.17,12,0,,0,0,0,9.2,16,12,12,2,5,0,9,5,1,2,56,2.172,14.9,1.9,4.7,8.4,1.8,,player.fcgi?id=campbe005pau
Brooks Crawford,19,2016,Clemson,3,0,1,3.66,26,2,,0,0,1,46.2,45,25,19,5,19,1,26,3,0,2,205,1.371,8.7,1,3.7,5,1.37,,player.fcgi?id=crawfo000bro
Alex Eubanks,20,2016,Clemson,6,5,0.545,4.09,23,11,,1,0,3,81.1,93,50,37,3,21,0,70,7,0,4,365,1.402,10.3,0.3,2.3,7.7,3.33,,player.fcgi?id=eubank000ale
Ryley Gilliam,19,2016,Clemson,3,2,0.6,6.1,15,6,,0,0,0,31,26,22,21,1,18,0,16,4,0,4,138,1.419,7.5,0.3,5.2,4.6,0.89,,player.fcgi?id=gillia000ryl
Mike Goren,20,2016,Clemson,0,0,,22.5,3,0,,0,0,0,4,7,10,10,2,6,0,5,0,1,2,25,3.25,15.8,4.5,13.5,11.3,0.83,,player.fcgi?id=goren-000mik
Jake Higginbotham*,20,2016,Clemson,3,0,1,4.59,8,7,,0,0,0,33.1,39,22,17,2,21,0,28,0,1,4,157,1.8,10.5,0.5,5.7,7.6,1.33,,player.fcgi?id=higgin000jak
Pat Krall*,21,2016,Clemson,10,2,0.833,1.67,29,3,,1,0,5,80.2,58,18,15,3,17,2,65,4,0,3,320,0.93,6.5,0.3,1.9,7.3,3.82,,player.fcgi?id=krall-000pat
Garrett Lovorn?,--,2016,Clemson,0,0,,2.35,10,0,,0,0,0,15.1,16,4,4,2,9,0,4,3,0,1,68,1.63,9.4,1.2,5.3,2.3,0.44,,player.fcgi?id=lovorn000gar
Andrew Papp?,--,2016,Clemson,0,0,,1.69,6,0,,0,0,0,5.1,4,1,1,0,5,0,5,0,1,1,25,1.688,6.8,0,8.4,8.4,1,,player.fcgi?id=papp--000and
Clate Schmidt,22,2016,Clemson,8,5,0.615,4.83,18,15,,0,0,0,85.2,105,56,46,6,21,0,68,6,0,4,384,1.471,11,0.6,2.2,7.1,3.24,,player.fcgi?id=schmid000cla
Alex Schnell*,21,2016,Clemson,0,0,,6.11,21,3,,0,0,0,28,38,26,19,1,13,0,19,7,1,3,144,1.821,12.2,0.3,4.2,6.1,1.46,,player.fcgi?id=schnel000ale
Andrew Towns*,21,2016,Clemson,0,0,,37.8,3,0,,0,0,0,1.2,7,7,7,0,1,0,1,0,0,1,13,4.8,37.8,0,5.4,5.4,1,,player.fcgi?id=towns-000and
Patrick Andrews,24,2017,Clemson,0,0,,4.22,21,0,,0,0,1,21.1,27,12,10,0,4,0,22,0,0,3,94,1.453,11.4,0,1.7,9.3,5.5,,player.fcgi?id=andrew002pat
Charlie Barnes*,21,2017,Clemson,5,5,0.5,3.2,16,16,,0,0,0,101.1,98,44,36,7,22,0,113,9,0,3,416,1.184,8.7,0.6,2,10,5.14,,player.fcgi?id=barnes006cha
Jeremy Beasley,21,2017,Clemson,1,2,0.333,5.79,23,0,,0,0,1,23.1,18,16,15,6,13,1,26,1,0,3,103,1.329,6.9,2.3,5,10,2,,player.fcgi?id=beasle001jer
Paul Campbell,21,2017,Clemson,0,0,,5.19,5,2,,0,0,0,8.2,10,7,5,0,6,0,13,0,0,2,39,1.846,10.4,0,6.2,13.5,2.17,,player.fcgi?id=campbe005pau
Brooks Crawford,20,2017,Clemson,4,0,1,1.23,17,0,,0,0,0,22,20,4,3,0,7,1,22,2,0,2,95,1.227,8.2,0,2.9,9,3.14,,player.fcgi?id=crawfo000bro
Alex Eubanks,21,2017,Clemson,7,6,0.538,4.09,18,16,,2,2,0,105.2,104,50,48,16,15,0,104,5,1,11,438,1.126,8.9,1.4,1.3,8.9,6.93,,player.fcgi?id=eubank000ale
Ryley Gilliam,20,2017,Clemson,3,1,0.75,2.57,27,0,,0,0,4,35,29,12,10,2,14,2,50,2,0,5,148,1.229,7.5,0.5,3.6,12.9,3.57,,player.fcgi?id=gillia000ryl
Owen Griffith,19,2017,Clemson,1,2,0.333,1.23,12,0,,0,0,0,14.2,8,5,2,0,3,0,14,2,1,4,58,0.75,4.9,0,1.8,8.6,4.67,,player.fcgi?id=griffi000owe
Jacob Hennessy*,19,2017,Clemson,2,1,0.667,3.82,26,0,,0,0,3,30.2,32,15,13,4,11,0,37,0,0,4,132,1.402,9.4,1.2,3.2,10.9,3.36,,player.fcgi?id=hennes000jac
Tyler Jackson,23,2017,Clemson,9,1,0.9,3.56,19,13,,1,1,0,83.1,82,38,33,8,10,0,68,2,1,7,347,1.104,8.9,0.9,1.1,7.3,6.8,,player.fcgi?id=jackso002tyl
Pat Krall*,22,2017,Clemson,8,3,0.727,3.5,17,16,,0,0,1,90,101,53,35,6,25,1,64,3,2,4,404,1.4,10.1,0.6,2.5,6.4,2.56,,player.fcgi?id=krall-000pat
Travis Marr,19,2017,Clemson,0,0,,0,1,0,,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,18,,,player.fcgi?id=marr--000tra
Mitch Miller*,20,2017,Clemson,0,0,,22.09,6,0,,0,0,0,3.2,6,9,9,1,6,0,4,1,0,0,24,3.273,14.7,2.5,14.7,9.8,0.67,,player.fcgi?id=miller003mit
Ryan Miller,21,2017,Clemson,1,0,1,3.09,11,0,,0,0,1,11.2,9,4,4,0,2,0,11,2,0,1,48,0.943,6.9,0,1.5,8.5,5.5,,player.fcgi?id=miller010rya
Alex Schnell*,22,2017,Clemson,1,0,1,2.51,13,0,,0,0,0,14.1,15,6,4,0,5,0,9,2,0,0,64,1.395,9.4,0,3.1,5.7,1.8,,player.fcgi?id=schnel000ale
Carson Spiers,19,2017,Clemson,0,0,,3,3,0,,0,0,0,3,4,1,1,0,0,0,3,1,0,0,14,1.333,12,0,0,9,,,player.fcgi?id=spiers000car
Bryce Bowen*,--,2018,Clemson,0,0,,0,1,0,,0,0,0,0.1,0,1,0,0,1,0,0,1,0,0,4,3,0,0,27,0,0,,player.fcgi?id=bowen-001bry
Mat Clark*,20,2018,Clemson,4,0,1,1.69,19,1,,0,0,0,21.1,18,5,4,1,4,0,23,0,0,5,90,1.031,7.6,0.4,1.7,9.7,5.75,,player.fcgi?id=clark-003mat
Brooks Crawford,21,2018,Clemson,8,2,0.8,3.24,16,16,,0,0,0,80.2,71,33,29,8,18,0,58,2,0,5,329,1.103,7.9,0.9,2,6.5,3.22,,player.fcgi?id=crawfo000bro
Ryley Gilliam,21,2018,Clemson,3,3,0.5,1.41,27,0,,0,0,11,38.1,22,9,6,2,22,0,54,4,1,2,162,1.148,5.2,0.5,5.2,12.7,2.45,,player.fcgi?id=gillia000ryl
Bo Gobin?,--,2018,Clemson,0,0,,15,5,0,,0,0,0,3,8,5,5,0,3,0,2,0,0,0,19,3.667,24,0,9,6,0.67,,player.fcgi?id=gobin-000bo-
Owen Griffith,20,2018,Clemson,0,0,,6.14,12,0,,0,0,1,14.2,18,10,10,4,13,0,18,2,0,4,76,2.114,11,2.5,8,11,1.38,,player.fcgi?id=griffi000owe
Jacob Hennessy*,20,2018,Clemson,4,3,0.571,3.91,14,14,,0,0,0,71.1,72,34,31,9,14,0,54,1,0,6,302,1.206,9.1,1.1,1.8,6.8,3.86,,player.fcgi?id=hennes000jac
Jake Higginbotham*,22,2018,Clemson,6,1,0.857,3.47,16,16,,0,0,0,80.1,70,38,31,6,32,0,63,7,0,4,343,1.27,7.8,0.7,3.6,7.1,1.97,,player.fcgi?id=higgin000jak
Ryne Huggins*,20,2018,Clemson,0,0,,9.82,10,0,,0,0,0,3.2,5,4,4,3,2,0,3,0,0,1,20,1.909,12.3,7.4,4.9,7.4,1.5,,player.fcgi?id=huggin000ryn
Holt Jones,19,2018,Clemson,2,0,1,4.41,8,3,,0,0,0,16.1,16,10,8,0,10,0,18,3,0,1,80,1.592,8.8,0,5.5,9.9,1.8,,player.fcgi?id=jones-000hol
Travis Marr,20,2018,Clemson,6,2,0.75,6.04,22,2,,0,0,0,44.2,54,31,30,7,21,0,33,4,1,3,204,1.679,10.9,1.4,4.2,6.6,1.57,,player.fcgi?id=marr--000tra
Mitch Miller*,21,2018,Clemson,0,0,,0,4,0,,0,0,0,2,2,0,0,0,2,0,0,0,0,1,10,2,9,0,9,0,0,,player.fcgi?id=miller003mit
Ryan Miller,22,2018,Clemson,7,1,0.875,2.51,26,0,,0,0,4,71.2,63,22,20,5,17,0,64,4,0,4,295,1.116,7.9,0.6,2.1,8,3.76,,player.fcgi?id=miller010rya
Alex Schnell*,23,2018,Clemson,0,0,,5.19,10,0,,0,0,0,8.2,9,5,5,1,6,0,4,2,0,3,40,1.731,9.3,1,6.2,4.2,0.67,,player.fcgi?id=schnel000ale
Carson Spiers,20,2018,Clemson,2,2,0.5,2.08,29,0,,0,0,4,43.1,22,10,10,3,19,1,39,0,0,3,169,0.946,4.6,0.6,3.9,8.1,2.05,,player.fcgi?id=spiers000car
Spencer Strider,19,2018,Clemson,5,2,0.714,4.76,22,6,,0,0,1,51,40,30,27,5,35,0,70,8,2,9,235,1.471,7.1,0.9,6.2,12.4,2,,player.fcgi?id=stride000spe
Sam Weatherly*,19,2018,Clemson,0,0,,6.64,8,5,,0,0,0,20.1,24,17,15,1,17,0,17,3,1,5,98,2.016,10.6,0.4,7.5,7.5,1,,player.fcgi?id=weathe000sam
Keyshawn Askew*,19,2019,Clemson,2,1,0.667,4.4,16,9,,0,0,0,45,46,28,22,4,15,0,36,11,1,2,197,1.356,9.2,0.8,3,7.2,2.4,,player.fcgi?id=askew-000key
Mat Clark*,21,2019,Clemson,9,3,0.75,3.21,14,11,,0,0,0,73,53,32,26,8,23,0,60,2,0,0,293,1.041,6.5,1,2.8,7.4,2.61,,player.fcgi?id=clark-003mat
Andrew Coker,--,2019,Clemson,0,0,,3,3,0,,0,0,0,3,4,1,1,0,1,0,0,0,0,0,13,1.667,12,0,3,0,0,,player.fcgi?id=coker-000and
Brooks Crawford,22,2019,Clemson,1,5,0.167,6.96,14,10,,0,0,1,42.2,58,39,33,11,14,0,31,3,0,2,208,1.688,12.2,2.3,3,6.5,2.21,,player.fcgi?id=crawfo000bro
Bo Gobin?,--,2019,Clemson,0,0,,10.8,4,0,,0,0,0,1.2,4,2,2,0,1,0,2,0,0,0,9,3,21.6,0,5.4,10.8,2,,player.fcgi?id=gobin-000bo-
Owen Griffith,21,2019,Clemson,2,2,0.5,5.4,24,0,,0,0,0,30,26,20,18,2,22,0,41,4,0,8,141,1.6,7.8,0.6,6.6,12.3,1.86,,player.fcgi?id=griffi000owe
Jacob Hennessy*,21,2019,Clemson,4,1,0.8,4.05,21,6,,0,0,0,53.1,53,29,24,7,13,0,39,3,0,4,224,1.238,8.9,1.2,2.2,6.6,3,,player.fcgi?id=hennes000jac
Ryne Huggins*,21,2019,Clemson,0,0,,3.6,7,0,,0,0,0,5,8,2,2,2,0,0,4,1,0,0,24,1.6,14.4,3.6,0,7.2,,,player.fcgi?id=huggin000ryn
Holt Jones,20,2019,Clemson,2,1,0.667,3.93,22,1,,0,0,3,36.2,23,17,16,3,24,1,43,6,2,10,160,1.282,5.6,0.7,5.9,10.6,1.79,,player.fcgi?id=jones-000hol
Jackson Lindley,19,2019,Clemson,2,0,1,3.68,10,6,,0,0,0,29.1,29,15,12,3,9,0,16,2,1,3,128,1.295,8.9,0.9,2.8,4.9,1.78,,player.fcgi?id=lindle002jac
Travis Marr,21,2019,Clemson,2,0,1,6.39,18,1,,0,0,0,31,43,22,22,6,6,0,27,5,0,4,142,1.581,12.5,1.7,1.7,7.8,4.5,,player.fcgi?id=marr--000tra
Connor O'Rear?,--,2019,Clemson,0,0,,9,2,0,,0,0,0,2,2,2,2,1,1,0,5,0,0,0,9,1.5,9,4.5,4.5,22.5,5,,player.fcgi?id=orear-000con
Sheldon Reed,21,2019,Clemson,0,0,,5.06,6,0,,0,0,0,5.1,6,4,3,0,4,0,6,1,0,1,26,1.875,10.1,0,6.8,10.1,1.5,,player.fcgi?id=reed--001she
Davis Sharpe,19,2019,Clemson,7,4,0.636,3.2,15,14,,0,0,0,84.1,61,36,30,4,33,0,84,12,2,6,351,1.115,6.5,0.4,3.5,9,2.55,,player.fcgi?id=sharpe000dav
Luke Sommerfeld,22,2019,Clemson,0,2,0,7.04,14,0,,0,0,0,23,28,19,18,3,9,3,22,0,0,3,105,1.609,11,1.2,3.5,8.6,2.44,,player.fcgi?id=sommer002luk
Carson Spiers,21,2019,Clemson,2,5,0.286,3.59,30,0,,0,0,11,47.2,39,22,19,4,16,2,44,4,2,4,201,1.154,7.4,0.8,3,8.3,2.75,,player.fcgi?id=spiers000car
Sam Weatherly*,20,2019,Clemson,2,0,1,3.38,21,0,,0,0,0,29.1,17,14,11,1,30,1,46,3,0,5,132,1.602,5.2,0.3,9.2,14.1,1.53,,player.fcgi?id=weathe000sam
Justin Wrobleski*,18,2019,Clemson,0,2,0,10.38,10,3,,0,0,0,13,16,15,15,2,14,0,15,1,0,3,68,2.308,11.1,1.4,9.7,10.4,1.07,,player.fcgi?id=wroble000jus
Ryan Ammons*,19,2020,Clemson,0,0,,0,1,0,,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,player.fcgi?id=ammons000rya
Mack Anglin,19,2020,Clemson,0,1,0,11.57,4,3,,0,0,0,7,12,10,9,1,11,0,11,0,0,1,45,3.286,15.4,1.3,14.1,14.1,1,,player.fcgi?id=anglin000mac
Keyshawn Askew*,20,2020,Clemson,0,0,,3.55,5,1,,0,0,0,12.2,12,5,5,2,11,0,12,1,0,0,58,1.816,8.5,1.4,7.8,8.5,1.09,,player.fcgi?id=askew-000key
Mat Clark*,22,2020,Clemson,2,0,1,3,4,0,,0,0,0,12,11,5,4,1,3,0,14,0,0,0,51,1.167,8.3,0.8,2.3,10.5,4.67,,player.fcgi?id=clark-003mat
Nick Clayton,19,2020,Clemson,1,0,1,0,6,0,,0,0,1,8.2,4,1,0,0,4,0,8,0,0,1,33,0.923,4.2,0,4.2,8.3,2,,player.fcgi?id=clayto000nic
Evan Estridge,22,2020,Clemson,0,0,,4.91,2,0,,0,0,0,3.2,3,2,2,0,3,1,1,0,0,0,17,1.636,7.4,0,7.4,2.5,0.33,,player.fcgi?id=estrid000eva
