Name,Age,Season,Team,Conference,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,Name-additional
Tristen Hudson#,19,2019,West Virginia,Big 12,37,46,40,5,5,1,0,0,5,3,2,2,15,0.125,0.178,0.15,0.328,6,,1,1,2,0,,player.fcgi?id=hudson000tri
Marques Inman,22,2019,West Virginia,Big 12,56,234,206,26,54,10,1,9,41,1,0,19,51,0.262,0.338,0.452,0.789,93,,6,0,3,0,,player.fcgi?id=inman-000mar
TJ Lake*,23,2019,West Virginia,Big 12,51,166,147,21,38,9,0,3,21,3,5,13,41,0.259,0.319,0.381,0.7,56,,1,3,2,0,,player.fcgi?id=lake--000tj-
Trey Lowe,19,2019,West Virginia,Big 12,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,,player.fcgi?id=lowe--001tre
Paul McIntosh,21,2019,West Virginia,Big 12,52,217,191,28,53,10,1,10,34,1,7,21,54,0.278,0.359,0.497,0.857,95,,4,0,1,0,,player.fcgi?id=mcinto000pau
Tevin Tucker,19,2019,West Virginia,Big 12,60,208,156,37,31,10,0,1,21,19,5,39,54,0.199,0.365,0.282,0.647,44,,3,8,2,0,,player.fcgi?id=tucker000tev
Brandon White,21,2019,West Virginia,Big 12,57,244,195,37,53,5,1,0,26,26,6,33,46,0.272,0.387,0.308,0.695,60,,5,9,2,0,,player.fcgi?id=white-006bra
Andrew Zitel,23,2019,West Virginia,Big 12,48,81,69,11,13,4,0,3,11,1,0,7,23,0.188,0.269,0.377,0.646,26,,1,3,1,0,,player.fcgi?id=zitel-000and
Kevin Brophy*,20,2018,West Virginia,Big 12,18,65,53,12,12,0,0,6,14,1,0,10,19,0.226,0.354,0.566,0.92,30,,1,0,1,0,,player.fcgi?id=brophy002kev
Nick DeNicola,21,2018,West Virginia,Big 12,9,10,10,2,2,2,0,0,2,0,0,0,5,0.2,0.2,0.4,0.6,4,,0,0,0,0,,player.fcgi?id=denico000nic
Tyler Doanes,19,2018,West Virginia,Big 12,43,126,101,15,32,5,4,1,20,6,1,10,17,0.317,0.407,0.475,0.882,48,,6,8,1,0,,player.fcgi?id=doanes000tyl
Jimmy Galusky,22,2018,West Virginia,Big 12,56,221,194,32,49,8,1,7,30,13,5,18,45,0.253,0.332,0.412,0.744,80,,6,1,2,0,,player.fcgi?id=galusk000jim
Iván González,21,2018,West Virginia,Big 12,53,223,200,25,51,11,0,1,25,1,1,18,24,0.255,0.32,0.325,0.645,65,,2,1,2,0,,player.fcgi?id=vera--000iva
Kyle Gray*,21,2018,West Virginia,Big 12,55,239,198,45,74,12,3,14,38,10,4,34,41,0.374,0.462,0.677,1.139,134,,2,1,4,2,,player.fcgi?id=gray--000kyl
Connor Hamilton,18,2018,West Virginia,Big 12,24,41,38,1,5,1,0,0,5,0,0,3,15,0.132,0.195,0.158,0.353,6,,0,0,0,0,,player.fcgi?id=hamilt001con
Darius Hill*,20,2018,West Virginia,Big 12,56,261,240,41,79,20,2,4,36,2,2,12,20,0.329,0.362,0.479,0.841,115,,3,1,5,0,,player.fcgi?id=hill--002dar
Tristen Hudson#,18,2018,West Virginia,Big 12,34,8,8,1,1,1,0,0,0,0,0,0,3,0.125,0.125,0.25,0.375,2,,0,0,0,0,,player.fcgi?id=hudson000tri
Chase Illig#,21,2018,West Virginia,Big 12,41,112,102,14,21,4,0,5,17,2,2,10,32,0.206,0.277,0.392,0.669,40,,0,0,0,2,,player.fcgi?id=illig-000cha
Marques Inman,21,2018,West Virginia,Big 12,52,217,191,31,61,20,1,6,40,1,0,20,41,0.319,0.387,0.529,0.916,101,,3,0,3,1,,player.fcgi?id=inman-000mar
Isaiah Kearns,20,2018,West Virginia,Big 12,33,66,59,9,16,2,1,0,5,4,1,5,14,0.271,0.349,0.339,0.688,20,,2,0,0,0,,player.fcgi?id=kearns000isa
