Name,Age,Season,Team,Conference,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,Name-additional,
Connor Berry,20,2017,Oklahoma,Big 12,3,0,1,1.93,22,0,,0,0,0,28,13,9,6,1,17,0,39,0,0,6,114,1.071,4.2,0.3,5.5,12.5,2.29,,player.fcgi?id=berry-001con,
Braidyn Fink*,19,2017,Oklahoma,Big 12,1,1,0.5,7.23,28,0,,0,0,1,18.2,14,17,15,1,17,1,21,3,0,3,92,1.661,6.8,0.5,8.2,10.1,1.24,,player.fcgi?id=fink--000bra,
Dylan Grove,19,2017,Oklahoma,Big 12,1,3,0.25,4.71,11,9,,0,0,0,36.1,33,24,19,0,40,0,48,11,0,9,191,2.009,8.2,0,9.9,11.9,1.2,,player.fcgi?id=grove-000dyl,
Austin Hansen,20,2017,Oklahoma,Big 12,3,1,0.75,3.86,12,8,,0,0,0,32.2,21,15,14,1,20,0,27,1,1,7,133,1.255,5.8,0.3,5.5,7.4,1.35,,player.fcgi?id=hansen001aus,
Jake Irvin,20,2017,Oklahoma,Big 12,6,3,0.667,3.53,13,13,,0,0,0,71.1,64,33,28,1,29,0,75,3,1,3,304,1.304,8.1,0.1,3.7,9.5,2.59,,player.fcgi?id=irvin-000jak,
Austin Kerns*,22,2017,Oklahoma,Big 12,2,3,0.4,6.49,27,0,,0,0,0,26.1,28,23,19,0,18,0,22,4,2,6,127,1.747,9.6,0,6.2,7.5,1.22,,player.fcgi?id=kerns-000aus,
Ryan Madden,20,2017,Oklahoma,Big 12,4,2,0.667,4.83,23,4,,0,0,0,54,48,32,29,4,21,0,45,4,0,5,231,1.278,8,0.7,3.5,7.5,2.14,,player.fcgi?id=madden000rya,
Braden Minor,--,2017,Oklahoma,Big 12,0,0,,8.53,5,0,,0,0,0,6.1,7,6,6,0,5,0,3,3,0,2,34,1.895,9.9,0,7.1,4.3,0.6,,player.fcgi?id=minor-000bra,
J.B. Olson,22,2017,Oklahoma,Big 12,5,1,0.833,1.99,31,0,,0,0,8,45.1,45,12,10,0,13,0,46,2,0,4,190,1.279,8.9,0,2.6,9.1,3.54,,player.fcgi?id=olson-000jb-,
Devon Perez,21,2017,Oklahoma,Big 12,6,2,0.75,3.5,14,8,,0,0,0,64.1,66,28,25,8,11,0,81,3,0,4,269,1.197,9.2,1.1,1.5,11.3,7.36,,player.fcgi?id=perez-000dev,
Lane Ramsey,20,2017,Oklahoma,Big 12,0,0,,9,5,0,,0,0,0,8,11,8,8,1,5,0,3,1,0,2,40,2,12.4,1.1,5.6,3.4,0.6,,player.fcgi?id=ramsey000lan,
Kyle Tyler,20,2017,Oklahoma,Big 12,0,3,0,5.15,13,10,,0,0,0,43.2,41,33,25,2,32,0,33,5,1,1,206,1.672,8.5,0.4,6.6,6.8,1.03,,player.fcgi?id=tyler-000kyl,
Nathan Wiles,18,2017,Oklahoma,Big 12,4,4,0.5,5.26,20,7,,0,0,1,49.2,62,31,29,6,16,0,39,3,0,1,221,1.57,11.2,1.1,2.9,7.1,2.44,,player.fcgi?id=wiles-000nat,
Joey Zurawik,23,2017,Oklahoma,Big 12,0,0,,6.75,8,0,,0,0,0,6.2,8,5,5,0,10,0,10,0,0,1,38,2.7,10.8,0,13.5,13.5,1,,player.fcgi?id=zurawi000joe,
Connor Berry,21,2018,Oklahoma,Big 12,1,1,0.5,1.35,22,0,,0,0,7,20,13,4,3,0,11,0,24,0,0,2,81,1.2,5.9,0,5,10.8,2.18,,player.fcgi?id=berry-001con,
Aaron Brooks,19,2018,Oklahoma,Big 12,0,0,,4.26,6,0,,0,0,0,6.1,5,3,3,1,5,0,8,1,0,2,29,1.579,7.1,1.4,7.1,11.4,1.6,,player.fcgi?id=brooks002aar,
Cade Cavalli,19,2018,Oklahoma,Big 12,2,2,0.5,6.75,11,2,,0,0,0,17.1,18,15,13,3,13,1,18,3,1,3,85,1.788,9.3,1.6,6.8,9.3,1.38,,player.fcgi?id=cavall000cad,
Braidyn Fink*,20,2018,Oklahoma,Big 12,0,0,,1.71,28,0,,0,0,1,21,15,4,4,1,9,0,28,3,0,4,87,1.143,6.4,0.4,3.9,12,3.11,,player.fcgi?id=fink--000bra,
Dylan Grove,20,2018,Oklahoma,Big 12,3,2,0.6,3.71,17,1,,0,0,1,34,22,18,14,2,25,0,34,7,0,2,153,1.382,5.8,0.5,6.6,9,1.36,,player.fcgi?id=grove-000dyl,
Austin Hansen,21,2018,Oklahoma,Big 12,2,3,0.4,3.29,34,0,,0,0,9,38.1,32,16,14,3,15,1,52,2,0,6,163,1.226,7.5,0.7,3.5,12.2,3.47,,player.fcgi?id=hansen001aus,
Jake Irvin,21,2018,Oklahoma,Big 12,6,2,0.75,3.41,16,16,,0,0,0,95,76,45,36,11,28,0,115,3,1,5,395,1.095,7.2,1,2.7,10.9,4.11,,player.fcgi?id=irvin-000jak,
Brett Lorah,21,2018,Oklahoma,Big 12,0,0,,13.5,3,0,,0,0,0,2,3,3,3,0,3,0,0,1,0,0,14,3,13.5,0,13.5,0,0,,player.fcgi?id=lorah-000bre,
Ryan Madden,21,2018,Oklahoma,Big 12,1,0,1,5.59,19,0,,0,0,0,19.1,30,12,12,0,8,0,13,1,0,1,97,1.966,14,0,3.7,6.1,1.63,,player.fcgi?id=madden000rya,
Zack Matthews,19,2018,Oklahoma,Big 12,0,0,,5.79,11,0,,0,0,0,9.1,9,7,6,1,2,0,15,5,0,2,45,1.179,8.7,1,1.9,14.5,7.5,,player.fcgi?id=matthe001zac,
Trevor Munsch*,--,2018,Oklahoma,Big 12,0,0,,54,2,0,,0,0,0,0.1,0,2,2,0,4,0,1,0,0,1,5,12,0,0,108,27,0.25,,player.fcgi?id=munsch000tre,
Devon Perez,22,2018,Oklahoma,Big 12,5,5,0.5,5.61,17,13,,0,0,0,61,74,44,38,7,20,0,43,4,1,2,279,1.541,10.9,1,3,6.3,2.15,,player.fcgi?id=perez-000dev,
Levi Prater*,19,2018,Oklahoma,Big 12,3,4,0.429,4.09,33,4,,0,0,0,50.2,29,25,23,4,28,0,64,9,0,1,212,1.125,5.2,0.7,5,11.4,2.29,,player.fcgi?id=prater000lev,
Lane Ramsey,21,2018,Oklahoma,Big 12,2,1,0.667,5.24,14,3,,0,0,0,22.1,22,13,13,2,14,0,18,4,0,11,106,1.612,8.9,0.8,5.6,7.3,1.29,,player.fcgi?id=ramsey000lan,
Ledgend Smith*,19,2018,Oklahoma,Big 12,0,0,,11.74,9,0,,0,0,0,7.2,10,12,10,2,3,0,13,2,0,1,39,1.696,11.7,2.3,3.5,15.3,4.33,,player.fcgi?id=smith-000led,
Jake Terry,19,2018,Oklahoma,Big 12,0,0,,5.11,12,0,,0,0,0,12.1,12,8,7,2,7,0,9,1,0,2,57,1.541,8.8,1.5,5.1,6.6,1.29,,player.fcgi?id=terry-000jak,
Kyle Tyler,21,2018,Oklahoma,Big 12,6,2,0.75,2.97,21,9,,0,0,0,66.2,62,31,22,6,20,0,84,3,0,8,278,1.23,8.4,0.8,2.7,11.3,4.2,,player.fcgi?id=tyler-000kyl,
Nathan Wiles,19,2018,Oklahoma,Big 12,7,3,0.7,3.54,16,15,,0,0,0,86.1,86,38,34,7,17,0,69,4,0,3,360,1.193,9,0.7,1.8,7.2,4.06,,player.fcgi?id=wiles-000nat,
Ben Abram,19,2019,Oklahoma,Big 12,6,4,0.6,4.24,15,13,,0,0,0,63.2,66,32,30,5,16,0,52,3,2,6,273,1.288,9.3,0.7,2.3,7.4,3.25,,player.fcgi?id=abram-000ben,
Aaron Brooks,20,2019,Oklahoma,Big 12,1,0,1,6.85,22,0,,0,0,0,23.2,17,18,18,4,15,0,27,3,0,8,108,1.352,6.5,1.5,5.7,10.3,1.8,,player.fcgi?id=brooks002aar,
Cade Cavalli,20,2019,Oklahoma,Big 12,5,3,0.625,3.28,12,12,,0,0,0,60.1,53,23,22,4,35,1,59,8,0,8,268,1.459,7.9,0.6,5.2,8.8,1.69,,player.fcgi?id=cavall000cad,
Will Dennis*,20,2019,Oklahoma,Big 12,0,0,,27,2,0,,0,0,0,1,3,3,3,0,1,0,0,1,0,0,8,4,27,0,9,0,0,,player.fcgi?id=dennis010wil,
Jaret Godman,19,2019,Oklahoma,Big 12,3,0,1,3.56,19,2,,0,0,0,43,36,19,17,5,17,0,35,3,1,2,179,1.233,7.5,1,3.6,7.3,2.06,,player.fcgi?id=godman000jar,
Ryan Madden,22,2019,Oklahoma,Big 12,0,0,,1.69,15,0,,0,0,0,16,13,6,3,0,5,0,11,0,0,4,66,1.125,7.3,0,2.8,6.2,2.2,,player.fcgi?id=madden000rya,
Zack Matthews,20,2019,Oklahoma,Big 12,0,3,0,5.18,24,0,,0,0,1,24.1,26,14,14,5,6,0,28,3,0,2,107,1.315,9.6,1.8,2.2,10.4,4.67,,player.fcgi?id=matthe001zac,
Wyatt Olds,19,2019,Oklahoma,Big 12,0,2,0,4.23,31,0,,0,0,0,27.2,27,13,13,1,20,0,37,1,2,6,130,1.699,8.8,0.3,6.5,12,1.85,,player.fcgi?id=olds--000wya,
Levi Prater*,20,2019,Oklahoma,Big 12,7,4,0.636,3.26,16,14,,0,0,0,80,60,34,29,7,43,1,97,13,0,2,345,1.288,6.8,0.8,4.8,10.9,2.26,,player.fcgi?id=prater000lev,
David Roderick,19,2019,Oklahoma,Big 12,0,0,,0,1,0,,0,0,0,1,0,0,0,0,2,0,0,0,0,1,4,2,0,0,18,0,0,,player.fcgi?id=roderi000dav,
Jason Ruffcorn,20,2019,Oklahoma,Big 12,2,2,0.5,2.43,30,0,,0,0,11,37,30,11,10,2,13,3,28,2,0,1,150,1.162,7.3,0.5,3.2,6.8,2.15,,player.fcgi?id=ruffco000jas,
Ledgend Smith*,20,2019,Oklahoma,Big 12,1,1,0.5,3.66,28,0,,0,0,0,19.2,24,11,8,2,7,0,19,1,0,2,85,1.576,11,0.9,3.2,8.7,2.71,,player.fcgi?id=smith-000led,
Jake Terry,20,2019,Oklahoma,Big 12,0,0,,22.5,7,0,,0,0,0,2,1,5,5,0,8,0,1,1,0,2,15,4.5,4.5,0,36,4.5,0.13,,player.fcgi?id=terry-000jak,
Braxton Webb*,21,2019,Oklahoma,Big 12,0,0,,9,5,0,,0,0,0,2,1,2,2,0,7,0,2,1,0,1,15,4,4.5,0,31.5,9,0.29,,player.fcgi?id=webb--003bra,
Nathan Wiles,20,2019,Oklahoma,Big 12,8,4,0.667,4.4,15,15,,0,0,0,94,103,50,46,16,18,0,83,6,0,1,405,1.287,9.9,1.5,1.7,7.9,4.61,,player.fcgi?id=wiles-000nat,
Ben Abram,20,2020,Oklahoma,Big 12,1,0,1,0.9,4,1,,0,0,0,10,8,1,1,0,3,0,13,1,0,1,38,1.1,7.2,0,2.7,11.7,4.33,,player.fcgi?id=abram-000ben,
Dane Acker,21,2020,Oklahoma,Big 12,1,1,0.5,3.51,4,4,,1,1,0,25.2,15,10,10,2,5,0,28,4,0,5,99,0.779,5.3,0.7,1.8,9.8,5.6,,player.fcgi?id=acker-000dan,
Jake Bennett*,19,2020,Oklahoma,Big 12,3,0,1,0.75,3,3,,0,0,0,12,6,1,1,0,3,0,19,2,0,0,46,0.75,4.5,0,2.3,14.3,6.33,,player.fcgi?id=bennet007wil,
Aaron Brooks,21,2020,Oklahoma,Big 12,1,1,0.5,0,5,0,,0,0,0,5,2,1,0,0,0,0,8,0,0,1,17,0.4,3.6,0,0,14.4,,,player.fcgi?id=brooks002aar,
Carson Carter,22,2020,Oklahoma,Big 12,0,0,,5.79,5,0,,0,0,0,4.2,6,4,3,0,3,0,9,1,0,2,24,1.929,11.6,0,5.8,17.4,3,,player.fcgi?id=carter002car,
Cade Cavalli,21,2020,Oklahoma,Big 12,1,2,0.333,4.18,4,4,,0,0,0,23.2,25,11,11,2,5,0,37,1,1,2,96,1.268,9.5,0.8,1.9,14.1,7.4,,player.fcgi?id=cavall000cad,
Brad Demco*,23,2020,Oklahoma,Big 12,0,0,,3,5,0,,0,0,0,3,2,1,1,0,3,0,4,1,0,3,15,1.667,6,0,9,12,1.33,,player.fcgi?id=demco-000bra,
Jaret Godman,20,2020,Oklahoma,Big 12,0,0,,5,7,0,,0,0,1,9,11,6,5,0,2,0,9,1,0,0,39,1.444,11,0,2,9,4.5,,player.fcgi?id=godman000jar,
Zack Matthews,21,2020,Oklahoma,Big 12,1,0,1,4.5,4,0,,0,0,0,6,6,4,3,1,3,0,7,0,0,0,27,1.5,9,1.5,4.5,10.5,2.33,,player.fcgi?id=matthe001zac,
Wyatt Olds,20,2020,Oklahoma,Big 12,4,0,1,1.89,5,2,,0,0,0,19,14,4,4,0,8,0,29,1,0,1,77,1.158,6.6,0,3.8,13.7,3.63,,player.fcgi?id=olds--000wya,
Levi Prater*,21,2020,Oklahoma,Big 12,1,0,1,3.42,4,4,,0,0,0,23.2,20,9,9,1,10,0,33,0,0,3,98,1.268,7.6,0.4,3.8,12.5,3.3,,player.fcgi?id=prater000lev,
Christian Ruebeck,19,2020,Oklahoma,Big 12,0,0,,5.4,4,0,,0,0,0,3.1,3,2,2,0,1,0,6,3,0,1,17,1.2,8.1,0,2.7,16.2,6,,player.fcgi?id=ruebec000chr,
Jason Ruffcorn,21,2020,Oklahoma,Big 12,1,0,1,0,7,0,,0,0,5,8,3,0,0,0,1,0,12,0,0,1,27,0.5,3.4,0,1.1,13.5,12,,player.fcgi?id=ruffco000jas,
Ledgend Smith*,21,2020,Oklahoma,Big 12,0,0,,0,6,0,,0,0,0,6,2,0,0,0,0,0,4,0,0,0,19,0.333,3,0,0,6,,,player.fcgi?id=smith-000led,
Braxton Webb*,22,2020,Oklahoma,Big 12,0,0,,4.5,3,0,,0,0,0,2,2,1,1,0,1,0,4,0,0,0,9,1.5,9,0,4.5,18,4,,player.fcgi?id=webb--003bra,
Ben Abram,21,2021,Oklahoma,Big 12,1,1,0.5,6.43,13,0,,0,0,0,28,26,21,20,5,14,0,33,2,0,5,125,1.429,8.4,1.6,4.5,10.6,2.36,,player.fcgi?id=abram-000ben,
Carson Atwood,20,2021,Oklahoma,Big 12,1,0,1,5.82,12,0,,0,0,0,17,15,13,11,2,8,0,17,1,0,3,74,1.353,7.9,1.1,4.2,9,2.13,,player.fcgi?id=atwood000car,
Jake Bennett*,20,2021,Oklahoma,Big 12,4,3,0.571,6.34,16,13,,0,0,0,55.1,68,44,39,7,13,0,60,4,0,12,250,1.464,11.1,1.1,2.1,9.8,4.62,,player.fcgi?id=bennet007wil,
Aaron Brooks,22,2021,Oklahoma,Big 12,0,1,0,9,7,0,,0,0,0,3,5,7,3,1,6,0,2,1,0,4,22,3.667,15,3,18,6,0.33,,player.fcgi?id=brooks002aar,
Braden Carmichael*,21,2021,Oklahoma,Big 12,6,3,0.667,5.03,15,14,,0,0,0,68,74,44,38,8,31,0,68,3,0,4,310,1.544,9.8,1.1,4.1,9,2.19,,player.fcgi?id=carmic000bra,
Carson Carter,23,2021,Oklahoma,Big 12,3,0,1,4.39,25,0,,0,0,0,41,33,28,20,8,21,0,51,4,0,2,181,1.317,7.2,1.8,4.6,11.2,2.43,,player.fcgi?id=carter002car,
Brad Demco*,24,2021,Oklahoma,Big 12,0,0,,81,2,0,,0,0,0,0.1,2,3,3,0,1,0,0,2,0,0,6,9,54,0,27,0,0,,player.fcgi?id=demco-000bra,
Dalton Fowler*,21,2021,Oklahoma,Big 12,0,2,0,13.5,13,5,,0,0,0,13.1,18,20,20,2,21,0,22,6,0,4,85,2.925,12.2,1.4,14.2,14.9,1.05,,player.fcgi?id=fowler000dal,
Jaret Godman,21,2021,Oklahoma,Big 12,1,2,0.333,6.49,19,1,,0,0,0,34.2,44,26,25,5,12,0,31,6,1,2,162,1.615,11.4,1.3,3.1,8,2.58,,player.fcgi?id=godman000jar,
Logan Kohler,21,2021,Oklahoma,Big 12,0,0,,0,1,0,,0,0,0,1,0,0,0,0,2,0,1,0,0,0,6,2,0,0,18,9,0.5,,player.fcgi?id=kohler000log,
Tommy Lamb*,19,2021,Oklahoma,Big 12,0,0,,3.86,4,0,,0,0,0,2.1,1,1,1,0,2,0,1,0,0,0,10,1.286,3.9,0,7.7,3.9,0.5,,player.fcgi?id=lamb--000tom,
Jett Lodes,20,2021,Oklahoma,Big 12,0,0,,5.4,3,0,,0,0,0,5,5,3,3,0,6,0,3,1,0,4,27,2.2,9,0,10.8,5.4,0.5,,player.fcgi?id=lodes-000jet,
Wyatt Olds,21,2021,Oklahoma,Big 12,4,6,0.4,5.23,19,11,,0,0,1,75.2,66,52,44,12,37,1,101,13,0,12,342,1.361,7.9,1.4,4.4,12,2.73,,player.fcgi?id=olds--000wya,
Javier Ramos,21,2021,Oklahoma,Big 12,2,1,0.667,11.72,15,5,,0,0,0,17.2,14,24,23,3,19,0,19,7,0,3,93,1.868,7.1,1.5,9.7,9.7,1,,player.fcgi?id=ramos-000jav,
Christian Ruebeck,20,2021,Oklahoma,Big 12,0,1,0,10.38,12,1,,0,0,0,13,12,15,15,2,10,1,14,5,0,4,63,1.692,8.3,1.4,6.9,9.7,1.4,,player.fcgi?id=ruebec000chr,
Jason Ruffcorn,22,2021,Oklahoma,Big 12,4,2,0.667,4,21,3,,0,0,3,54,42,24,24,12,17,1,74,8,0,3,225,1.093,7,2,2.8,12.3,4.35,,player.fcgi?id=ruffco000jas,
Ledgend Smith*,22,2021,Oklahoma,Big 12,0,0,,3.77,18,0,,0,0,0,14.1,13,9,6,2,7,0,14,0,0,0,66,1.395,8.2,1.3,4.4,8.8,2,,player.fcgi?id=smith-000led,
Luke Taggart,23,2021,Oklahoma,Big 12,1,6,0.143,4.3,22,2,,0,0,2,37.2,35,19,18,5,15,0,54,3,0,4,165,1.327,8.4,1.2,3.6,12.9,3.6,,player.fcgi?id=taggar000luk,
Braxton Webb*,23,2021,Oklahoma,Big 12,0,0,,0,1,0,,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,18,,,player.fcgi?id=webb--003bra,
Ben Abram,22,2022,Oklahoma,Big 12,1,0,1,9.41,22,0,,0,0,0,22,38,25,23,3,5,0,15,0,0,2,106,1.955,15.5,1.2,2,6.1,3,,player.fcgi?id=abram-000ben,
Keegan Allen,19,2022,Oklahoma,Big 12,0,0,,9,9,0,,0,0,0,7,9,7,7,1,5,0,8,2,0,2,37,2,11.6,1.3,6.4,10.3,1.6,,player.fcgi?id=allen-001kee,
Nick Andrews,21,2022,Oklahoma,Big 12,0,0,,7.94,5,0,,0,0,0,5.2,4,5,5,2,7,0,9,0,0,0,25,1.941,6.4,3.2,11.1,14.3,1.29,,player.fcgi?id=andrew003nic,
Carson Atwood,21,2022,Oklahoma,Big 12,2,4,0.333,5.65,26,1,,0,0,0,28.2,32,20,18,2,11,0,24,5,0,1,132,1.5,10,0.6,3.5,7.5,2.18,,player.fcgi?id=atwood000car,
Jake Bennett*,21,2022,Oklahoma,Big 12,10,4,0.714,3.69,20,19,,0,0,1,117,106,57,48,9,22,0,133,9,0,6,486,1.094,8.2,0.7,1.7,10.2,6.05,,player.fcgi?id=bennet007wil,
Aaron Calhoun,19,2022,Oklahoma,Big 12,0,1,0,6,12,1,,0,0,0,12,11,9,8,1,7,0,9,2,0,1,53,1.5,8.3,0.8,5.3,6.8,1.29,,player.fcgi?id=calhou000aar,
Carter Campbell*,21,2022,Oklahoma,Big 12,3,0,1,5.22,31,0,,0,0,0,29.1,39,17,17,4,9,0,17,3,0,1,134,1.636,12,1.2,2.8,5.2,1.89,,player.fcgi?id=campbe003car,
Braden Carmichael*,22,2022,Oklahoma,Big 12,3,2,0.6,9,13,8,,0,0,0,29,40,32,29,5,20,0,29,4,0,5,150,2.069,12.4,1.6,6.2,9,1.45,,player.fcgi?id=carmic000bra,
Luke Carrell*,19,2022,Oklahoma,Big 12,0,0,,13.5,2,0,,0,0,0,0.2,0,1,1,0,2,0,0,0,0,0,3,3,0,0,27,0,0,,player.fcgi?id=carrel000luk,
Luc Fladda*,19,2022,Oklahoma,Big 12,0,0,,27,1,0,,0,0,0,0.1,0,1,1,0,1,0,1,0,0,2,2,3,0,0,27,27,1,,player.fcgi?id=fladda000luc,
Jaret Godman,22,2022,Oklahoma,Big 12,1,0,1,6.98,20,0,,0,0,3,19.1,30,17,15,2,7,1,17,4,0,0,97,1.914,14,0.9,3.3,7.9,2.43,,player.fcgi?id=godman000jar,
Cade Horton,20,2022,Oklahoma,Big 12,5,2,0.714,4.86,14,11,,0,0,0,53.2,55,31,29,8,15,0,64,7,1,3,233,1.304,9.2,1.3,2.5,10.7,4.27,,player.fcgi?id=horton000cad,
Jett Lodes,21,2022,Oklahoma,Big 12,0,0,,9.64,5,0,,0,0,0,4.2,9,5,5,1,6,0,3,0,0,0,28,3.214,17.4,1.9,11.6,5.8,0.5,,player.fcgi?id=lodes-000jet,
Chazz Martinez*,22,2022,Oklahoma,Big 12,4,3,0.571,5.32,22,8,,0,0,1,64.1,66,43,38,10,32,0,67,4,0,7,290,1.523,9.2,1.4,4.5,9.4,2.09,,player.fcgi?id=martin014cha,
Trevin Michael,24,2022,Oklahoma,Big 12,4,2,0.667,2.89,32,2,,0,0,10,71.2,55,25,23,10,20,0,95,3,0,8,285,1.047,6.9,1.3,2.5,11.9,4.75,,player.fcgi?id=michae000tre,
Griffin Miller,22,2022,Oklahoma,Big 12,0,1,0,8.68,10,0,,0,0,0,9.1,8,14,9,3,6,0,10,4,0,1,52,1.5,7.7,2.9,5.8,9.6,1.67,,player.fcgi?id=miller001gri,
Javier Ramos,22,2022,Oklahoma,Big 12,1,1,0.5,5.16,15,1,,0,0,0,22.2,22,22,13,5,15,0,24,5,1,5,106,1.632,8.7,2,6,9.5,1.6,,player.fcgi?id=ramos-000jav,
David Sandlin,21,2022,Oklahoma,Big 12,9,4,0.692,5.59,19,18,,0,0,0,95,100,63,59,15,31,0,102,8,0,2,421,1.379,9.5,1.4,2.9,9.7,3.29,,player.fcgi?id=sandli002dav,
Brett Squires,22,2022,Oklahoma,Big 12,0,0,,9,1,0,,0,0,0,1,2,1,1,1,1,0,1,0,0,0,5,3,18,9,9,9,1,,player.fcgi?id=squire000bre,
Colton Sundloff,19,2022,Oklahoma,Big 12,2,0,1,6.86,18,0,,0,0,0,21,33,21,16,4,11,1,16,2,0,5,108,2.095,14.1,1.7,4.7,6.9,1.45,,player.fcgi?id=sundlo000col,
Creed Watkins,21,2022,Oklahoma,Big 12,0,0,,inf,1,0,,0,0,0,0,0,2,2,0,2,0,0,0,0,0,2,,,,,,0,,player.fcgi?id=watkin000cre,
Carson Atwood,22,2023,Oklahoma,Big 12,1,2,0.333,6.28,22,3,,0,0,1,28.2,35,21,20,5,11,0,19,1,0,2,133,1.605,11,1.6,3.5,6,1.73,,player.fcgi?id=atwood000car,
Aaron Calhoun,20,2023,Oklahoma,Big 12,0,1,0,8.16,14,0,,0,0,1,14.1,21,16,13,3,9,0,14,3,0,3,75,2.093,13.2,1.9,5.7,8.8,1.56,,player.fcgi?id=calhou000aar,
Carter Campbell*,22,2023,Oklahoma,Big 12,6,4,0.6,5.61,34,1,,0,0,2,59.1,60,39,37,9,14,1,39,4,1,8,256,1.247,9.1,1.4,2.1,5.9,2.79,,player.fcgi?id=campbe003car,
Braden Carmichael*,23,2023,Oklahoma,Big 12,7,1,0.875,3.39,18,11,,1,1,0,77,86,39,29,4,18,0,62,6,0,2,342,1.351,10.1,0.5,2.1,7.2,3.44,,player.fcgi?id=carmic000bra,
Will Carsten,21,2023,Oklahoma,Big 12,1,3,0.25,5.77,18,5,,0,0,4,43.2,51,34,28,8,21,1,41,5,0,2,207,1.649,10.5,1.6,4.3,8.5,1.95,,player.fcgi?id=carste000wil,
Kale Davis,23,2023,Oklahoma,Big 12,2,3,0.4,8.92,15,7,,0,0,0,36.1,44,37,36,5,25,0,28,3,0,3,181,1.899,10.9,1.2,6.2,6.9,1.12,,player.fcgi?id=davis-001kal,
Braxton Douthit,24,2023,Oklahoma,Big 12,5,6,0.455,5.33,16,15,,1,0,0,79.1,67,53,47,5,57,0,58,7,0,11,362,1.563,7.6,0.6,6.5,6.6,1.02,,player.fcgi?id=douthi001bra,
Julien Hachem*,18,2023,Oklahoma,Big 12,1,0,1,18.47,10,1,,0,0,0,6.1,9,13,13,4,10,0,5,0,0,4,36,3,12.8,5.7,14.2,7.1,0.5,,player.fcgi?id=hachem000jul,
Gray Harrison,21,2023,Oklahoma,Big 12,0,2,0,10.89,16,5,,0,0,0,19,23,24,23,1,19,1,19,4,1,3,104,2.211,10.9,0.5,9,9,1,,player.fcgi?id=harris012gra,
Jamie Hitt*,20,2023,Oklahoma,Big 12,6,2,0.75,4.89,17,12,,0,0,0,70,70,42,38,9,23,0,41,6,1,3,302,1.329,9,1.2,3,5.3,1.78,,player.fcgi?id=hitt--003jam,
Jett Lodes,22,2023,Oklahoma,Big 12,1,0,1,5.88,16,0,,0,0,0,26,31,20,17,2,16,0,30,6,0,7,132,1.808,10.7,0.7,5.5,10.4,1.88,,player.fcgi?id=lodes-000jet,
Peyton Olejnik,20,2023,Oklahoma,Big 12,0,0,,4.91,5,0,,0,0,0,3.2,2,2,2,1,4,0,2,1,0,1,18,1.636,4.9,2.5,9.8,4.9,0.5,,player.fcgi?id=olejni000pey,
Carson Pierce,21,2023,Oklahoma,Big 12,2,1,0.667,3.94,23,0,,0,0,1,29.2,35,17,13,5,14,0,21,0,0,6,137,1.652,10.6,1.5,4.2,6.4,1.5,,player.fcgi?id=pierce004car,
Colton Sundloff,20,2023,Oklahoma,Big 12,0,0,,6.75,5,0,,0,0,0,4,5,4,3,0,3,0,5,0,0,0,21,2,11.3,0,6.8,11.3,1.67,,player.fcgi?id=sundlo000col,
Gray Thomas,20,2023,Oklahoma,Big 12,0,1,0,33.75,3,0,,0,0,0,1.1,1,8,5,0,6,0,2,1,0,0,13,5.25,6.8,0,40.5,13.5,0.33,,player.fcgi?id=thomas001gra,
Carson Turnquist,19,2023,Oklahoma,Big 12,0,0,,3.6,5,0,,0,0,0,5,3,2,2,1,5,0,7,2,0,2,25,1.6,5.4,1.8,9,12.6,1.4,,player.fcgi?id=turnqu001car,
Adam Walker,21,2023,Oklahoma,Big 12,0,0,,5.79,5,0,,0,0,0,4.2,4,3,3,1,5,0,2,0,0,1,23,1.929,7.7,1.9,9.6,3.9,0.4,,player.fcgi?id=walker004ada,
Aaron Weber,20,2023,Oklahoma,Big 12,0,2,0,9.5,19,0,,0,0,7,18,21,20,19,5,13,0,22,1,0,1,90,1.889,10.5,2.5,6.5,11,1.69,,player.fcgi?id=weber-002aar,
Carson Atwood,23,2024,Oklahoma,Big 12,1,2,0.333,3.96,26,4,,0,0,0,36.1,33,20,16,7,14,1,30,0,0,1,160,1.294,8.2,1.7,3.5,7.4,2.14,,player.fcgi?id=atwood000car,
Jason Bollman,24,2024,Oklahoma,Big 12,0,0,,16.2,3,0,,0,0,0,1.2,3,3,3,0,5,0,4,0,0,0,13,4.8,16.2,0,27,21.6,0.8,,player.fcgi?id=bollma000jas,
Carter Campbell*,23,2024,Oklahoma,Big 12,4,1,0.8,5.64,28,1,,0,0,1,44.2,45,33,28,5,20,0,35,7,1,3,202,1.455,9.1,1,4,7.1,1.75,,player.fcgi?id=campbe003car,
Will Carsten,22,2024,Oklahoma,Big 12,0,1,0,8.66,13,2,,0,0,0,17.2,26,19,17,6,12,0,12,1,0,1,88,2.151,13.2,3.1,6.1,6.1,1,,player.fcgi?id=carste000wil,
